content,emoji,comment,current,href,time,comments_size
"['[ Bật mí bí mật A+ Toán Ứng Dụng - Xuất phát sớm từ đầu kì thôi nào!!! ] - [ Hi 49K DUE Z ]\nBạn loay hoay giải những bài toán phức tạp?\nBạn thiếu kiến thức và kỹ năng để áp dụng công thức vào bài toán thực tế?\nBạn muốn nâng cao điểm số môn toán để đạt được mục tiêu học tập của mình?\nVà lại là mình Minh Anh- Mentor Toán Ứng Dụng đây!!!. Khóa học online Toán Ứng Dụng tại HocvienZ.edu.vn chính là GIẢI PHÁP dành cho bạn!\nMôn học này được chia làm 8 chương lớn và khối lượng kiến thức khá là khổng lồ nếu như chúng ta tìm hiểu chuyên sâu. Mới chỉ ở đầu kì, nên mình sẽ nói sơ qua về 3 chương đầu nhé. Chương 1 chúng ta sẽ làm quen với Ma Trận, cũng là lúc mà các bạn sinh viên hoảng sợ và loay hoay với nó. Mặc dù cuối kì chúng ta sẽ không gặp ma trận đâu, nhưng nó lại là cơ sở để các bạn học Chương 2 và Chương 3. Và đây cũng là 2 bài toán lớn các bạn chắc chắn sẽ gặp trong thi Cuối Kì.\nVề format thi Giữa Kỳ và Cuối Kỳ:\nGiữa Kì: Chủ yếu là C1,2,3,4,5. Tuy nhiên thi giữa kì còn tùy thuộc vào từng thầy cô và không có form đề cụ thể\nCuối Kì: Có 6 câu hỏi bao quát các nội dụng đã học theo form đề cụ thể. Để biết chi tiết hơn, các bạn có thể vào HocvienZ.edu.vn và xem video đầu tiên của mình nhé!\nVề với team của mình, các bạn sẽ tối ưu hóa được thời gian mà các bạn phải dành cho môn Toán. Vì sao ư? Vì khóa học của mình sẽ bám sát vào những nội dung thi cuối kì, chỉ nhấn mạnh vào nội dung trọng tâm và chắc chắn ra thi, chỉ ra phần nào được phép bỏ không cần phải học cho các bạn nè. Quá là khỏe lun!!!\nỞ đây mình gửi file cho các bạn ôn đầu kì nhé!!!\nhttps://drive.google.com/.../1gZZ7...\nNếu có bạn nào quan tâm thì về ngay team của mình nhé\n. Hiện tại giá khoá học Toán Ứng Dụng của mình đang giảm xuống chỉ còn 150k tới cuối tuần này nha. Link khoá học của mình đây nha:\nhttps://hocvienz.edu.vn/.../khoa-ho%cc%a3c-toan-ung-du.../\nỞ khóa trước của mình, đã có rất nhiều bạn học viên đạt điểm cao môn Toán Ứng Dụng, bên cạnh giải đáp những thắc mắc về môn Toán, mình cũng chia sẻ cho những bạn học viên ib mình về các vấn đề khác liên quan đến học tập, rèn luyện, và thậm chí là cả tài liệu những môn học khác nữa nè']","['Tất cả, 19', 'Yêu thích, 10', 'Thích, 7', 'Haha, 2']","['Đinh Thị Mỹ Tâm lại lần nữa k', 'Nguyễn T. Hải Quỳnh quá đủ rồi', 'Tin chuẩn chưa zạ', 'Phạm Thị Mỹ Dung chuẩn men nhé', 'Em mới vào trường cần c hướng dẫn ạ', '2', 'Nguyễn Thuận Thảo vơ không dám không dám']",1577,https://www.facebook.com/groups/614770969645645/posts/1105471193908951/?__cft__[0]=AZV9aKa1zSWk-eXsWJevFy44FzYbdKU4gePjB1N5t_xOoysqf7Laplh_g__KKgdzmXSEmuET-M1dPVxRH1uk1KbwlwsgHIU5u7r1nUEm9bZZOksP-8vaHMjGJmY8FcX_QdvX041gY6PN9oy3V0yddzxUxMkHgVF_OZ5-YY3DShGMP545Wso1q-cTTvlJt2zD2E4&__tn__=%2CO%2CP-R,"Thứ Năm, 14 Tháng 3, 2024 lúc 16:00",7
"['[ Lơ là ngay từ đầu kì 2 - Đừng để bản thân hối hận ] - [ Hi 49K DUE Z ]\nHello các bạn 49K, lại là mình đây Mentor Vi Mô - Hồng Nguyên. Mới đây mà các bạn đã chuẩn bị bước sang kỳ 2, liệu các bạn đã quen với cách học trên đại học hay chưa? Tuy nhiên các bạn cũng đừng quá lo lắng nếu chưa thể theo kịp nhé, vì ở đây đã có chúng mình - Đội ngũ Mentor của Hi 49K DUE Z.\nĐầu tiên môn học này gồm các 8 chương từ tổng quan về kinh tế học tới thị trường độc quyền. Tuy nhiên h mới đầu kỳ nên chị sẽ phân tích trước 3 chương đầu vì đó những nền tảng kiến thức để xây dựng kiến thức cho những chương học sau. Cụ thể hơn . Ngoài ra các chương đầu có kiến thức liên quan đến Cung - Cầu, những khái niệm, đặc điểm cũng như cách vận hành của đường Cung - Cầu còn xuất hiện của những công thức tính toán về các độ co giãn của Cầu. Một phần là giúp những chương sau tiếp thu tốt hơn nhưng cũng một phần là những phần nội dung quan trọng trong giữa kỳ và cuối kỳ.\nĐối với Vi Mô, các bạn sẽ thi bằng trắc nghiệm:\nGiữa kỳ: Chương 1,2,3,4,5\nCuối kỳ: Chương 1,2,3,4,5,6,7,8; và 2 chương cuối sẽ chiếm nhiều trong bài thi.\nTài liệu ngay từ những ngày đầu đã giúp mình học tốt hơn Vi Mô, các bạn tham khảo nhá:\nhttps://drive.google.com/drive/u/4/folders/1oO6P1qqqTrJX-GtGPFhA08drSMEHa7qx\nNếu muốn có những con điểm cao thì đồng nghĩa sự cố gắng của các bạn phải rất nhiều. Nếu tự học chưa thực sự hữu dụng thì đến với khóa học Vi Mô của mình nhé. Khóa học hiện tại chỉ còn 150K đến hết cuối tuần này thôi nhé, nếu các bạn muốn thì nhanh tay đăng ký thôi nèo. Link khóa học của mình đây:\nhttps://hocvienz.edu.vn/courses/khoa-ho%cc%a3c-vi-mo-hi-due-z-8-ngay-a/']","['Tất cả, 42', 'Yêu thích, 24', 'Thích, 17', 'Haha, 1']","['em nè chị ơi', 'được 9+ có được thưởng chị mentor khôm ạ?', 'Thư hay dậy lắm:))', 'Học thui']",2722,https://www.facebook.com/groups/614770969645645/posts/1105118123944258/?__cft__[0]=AZWQXPUh_U03q3FAW-3e9nIadG_Pv3z-iyrpV9NbSS8EFFeZRG6PGByficSv6an8ZuJYJQ2VGrFkgz8Eg2MScsaeQWVsldQcgpYStGUjzZtFwkAdu1K2Uv86fmeC0TBBTQPWtVwRYXxY3kyrrpgfoPxkNk0tc_p5qLcCQWhh8L07Qjj2JV1OQUsOPE4AdWRj7UA&__tn__=%2CO%2CP-R,"Thứ Tư, 13 Tháng 3, 2024 lúc 18:04",4
"['[ Muốn A+ Vĩ Mô - Chuẩn bị từ đầu kì - Tôi làm được bạn cũng vậy ] - [ HI 49K DUE Z ]\nChào các bạn nha, lại là mình, Mai Hải Đăng đây\n!!!\nĐầu kì là thời điểm quan trọng để ôn các câu sẽ có trong đề thi. Lý do là vì 3 chương đầu của Kinh Tế Vĩ Mô, dặc biệt là việc hiểu khái niệm, đặc biệt là GDP và các thành phần của nó chính là chìa khoá giúp các bạn nắm bắt các chương sau mà nó cũng chính là những nội dung quan trọng trong thi giữa kỳ và cả cuối kỳ\n.\nĐể thuận tiện cho việc ôn tập mình gửi bạn file:\nhttps://drive.google.com/.../1GIlBBeluSYw4yDJbKJqVphiqXN7...\nĐồng thời mình cũng flex học viên của mình đã được A+ vĩ mô kì trước kèm bảng điểm nha. Mình mới chỉ liên hệ 16 bạn mà đã có 10 con A và 2 con B+ rồi nè\nNếu bạn có nhu cầu A+ vĩ mô thì tham gia ngay vào team vĩ mô 2024 của mình nhé\n. Hiện tại giá khoá học Vĩ Mô của mình đang giảm xuống chỉ còn 150k tới cuối tuần này nha. Link khoá học của mình nè :\nhttps://hocvienz.edu.vn/.../khoa-ho%cc%a3c-vi%cc%83-mo.../', '+9']","['Tất cả, 40', 'Thích, 23', 'Yêu thích, 17']",['Đỉnh quá'],3629,https://www.facebook.com/groups/614770969645645/posts/1104546167334787/?__cft__[0]=AZWYu8hLdLNGVOjJeVRhDe88NZ0Y64bhE56Oiw_wJzi7_Lz5DZkH7rWa1cn4zXA2GuflJ5G1raVbHSzAKPEPLb_etGBkYIHrmDT1rkgdzocHqGCrcc83nctKowdsA3Z6lcLA9jepsLDHp0QnwalqE_bigOUJALPnoN500ZLgd9lqbC44Hs-XOqRFZERGibccQwA&__tn__=%2CO%2CP-R,"Thứ Ba, 12 Tháng 3, 2024 lúc 16:00",2
"[""[ LỘ TRÌNH TỚI TIỆM IN HI DUE Z ] - [ HI 49K DUE Z ]\nHello cả nhà để thuận tiện cho việc đi từ bãi đổ xe đến tiệm in ko bị ' lạc lối ' thì tiệm xin giới thiệu các bạn máy bay nhỏ x cơ trưởng HI DUE Z"", '+2']","['Tất cả, 30', 'Thích, 23', 'Yêu thích, 7']","['Dị seo', 'Hiện tại có 2 bạn nữ để quên cccd tại tiệm nha', 'Kết quả đây nhaaaaa']",4857,https://www.facebook.com/groups/614770969645645/posts/1104471917342212/?__cft__[0]=AZWs-7LHLadODvkhzrkmY5FBVuqBg59rvjOWxaqUeZyLE5-LCSzPGN2ViQ6F6sIXDrPwKvEcnoNK2ZApsy5dmhZIWXkCrFCIGs-F3rADIdl93wh5sBnJ4RwCvKOVDiBHJD8jcFB30JhkBV5hLmZm0qq-A9Vp8lR7fusgoWHZs-gXSpjEnnEaqCKC4nDtPJxLQHE&__tn__=%2CO%2CP-R,"Thứ Ba, 12 Tháng 3, 2024 lúc 10:56",3
"['[ HỌC PHẦN 3 GIÁO DỤC QUỐC PHÒNG AN NINH ] - [ HI 49K DUE Z ]\nTiệm gửi nội dung trắc nghiệm học phần 3 cho các bạn thi GDQP đợt này mai, mốt hoặc đợt tiếp trong tháng sau nhé\nhttps://drive.google.com/.../1SOKKs52Djp76jKWwSgJuCjmSt0N...', 'DRIVE.GOOGLE.COM\nTài liệu GDQP học phần 3 - Google Drive']","['Tất cả, 34', 'Thích, 23', 'Yêu thích, 9', 'Thương thương, 1', 'Wow, 1']",[],5992,https://www.facebook.com/groups/614770969645645/posts/1104143540708383/?__cft__[0]=AZUcRP30yORD8ZSgme0ApTxb382bcGajijeOcCnOAHdObl6xGKgq1KvUIZzpTpJLoBX5wB722VDIbv2VB_xj8KjCY860lzAQtOs0GhqvrPOi6jKMdYkUVRbGTmLNDXLhq2bFm5zGs6MkSW8U7YV1zNHvMml_WOdoaneaQp4m8VvckW0PCeDg9Kc0YqL22fV4748&__tn__=%2CO%2CP-R,"Thứ Hai, 11 Tháng 3, 2024 lúc 19:21",0
"['[ CHÚNG TỚ CÓ X TIỆM IN HI DUE Z ] - [ HI 49K DUE Z ]\nHello các cậu, là tớ thành viên mới của ngôi nhà chung HI DUE Z. Dù chỉ mới 5 ngày tuổi nhưng thật may mắn tớ nhận được rất nhiều tình iu thương từ các cậu.\nCó thể phần lớn các cậu biết về tớ rồi nhưng để hiểu hơn về tớ thì xem ngay ảnh dưới đây nhé !!!!\nGroup 1 full r tớ gửi group 2 zalo của bọn tớ:\nhttps://zalo.me/g/onniqb222', '+2']","['Tất cả, 30', 'Thích, 15', 'Yêu thích, 15']",['Đỉnh v shaooo'],6404,https://www.facebook.com/groups/614770969645645/posts/1103687484087322/?__cft__[0]=AZXtyUXxxjz4SkU9DwZfqM0Ib7fwFP96EwN9RIhw-lwyT5hmDM7vOFURajOE0Du60TejdmOk5Ljx8CVEb3SpYVQwR__eQ2ekruibdWOu1hlCiH48ydnlxf2TmCH1-44kNVU8gqmi2TFUThHAGLz9oqy6RX7hl1h8zIX3AXdR1jOZIM5oOb8njkWCKxfZA2sZ_2s&__tn__=%2CO%2CP-R,"Chủ Nhật, 10 Tháng 3, 2024 lúc 21:03",1
['Dự kiến cổng chào trường Quốc phòng an ninh  sắp tới khi 49K kết thúc kỳ quân sự\n#dan #lyna'],"['Tất cả, 237', 'Haha, 136', 'Thích, 50', 'Buồn, 39', 'Yêu thích, 10', 'Thương thương, 1', 'Wow, 1']","['Trương Thị Bảo ChâuQuỳnh NhungPhạm Quyên', '2', 'Đi quân sự về tự nhiên được đổi quốc tịch', 'Nhi Nguyen Phuong', 'Thúy Nga đạ k trắng rồi đi về thành than luôn quá', 'Tr ơi đừng màa\ngiữ mấy tháng mới trắng đc có tí', '2', 'Trâm Khánh Kim Thoa Đi về phát cái xuống 2 tone', '3', 'Văn Thức đi mô cũng thấy c dza', '2', 'Lê Vi Thảo Nguyên gì z tr', 'Văn Thức ụaaaaa', 'Võ Trần Ánh Nguyệt ngại vỡi', '3 tone chứ mấy:((', 'Hoa Do đen hơn đc xí nào k b', 'Bùi Trà My trmi ko được trêu b nghen', 'Hoa Do đúng là ng có tình iu vô cái khác hẳn', 'Bùi Trà My nói mấy câu xạo xạo nghe ngứa djt quá c mi', 'Hoa Do giấu anh kia k cho ngta biết luôn mà :))))', 'Bùi Trà My làm gì có ai, tim chứa trmi là hết chỗ rồi']",7322,https://www.facebook.com/groups/614770969645645/posts/1103453000777437/?__cft__[0]=AZWmN5oBNCv45jb_x3ut-vkReqPsfLTQ6b_7OZ6Vqz_Bw6VvZ7lArwdUndQ4eIJqDD6j7J4Ru7RkuQiSOIT6zsH6xdrQ3B7o8p7L98JTMnjfoI8QhE8gCincrOogzw_wflpDc6h3ktOWRlaD0Kic2y6uw62wdVnGEesAddSubVGyy2pbFdOZIFXgj8iIPAYP5H0&__tn__=%2CO%2CP-R,"Chủ Nhật, 10 Tháng 3, 2024 lúc 10:14",21
"['Cuối tuần rồi bạn cứ như vầy tiệm thick lắmm ', '+2']","['Tất cả, 13', 'Thích, 9', 'Yêu thích, 3', 'Haha, 1']",[],8100,https://www.facebook.com/groups/614770969645645/posts/1103066287482775/?__cft__[0]=AZXZgZFfBlwM4uozyH9_79UNtA2S4jFTHL-BGVnHR6TvZxwlXSTc12J5j9z0GkJUGXnk6sQ6xrUUWQ1aLDVDRme1I32rNautjgU7Y8KrjXHrg63SwKi_2Xt_UTR_-l84m6fAoExf0a8R4ZJ83g2OrAeumUqETSACYbVtaFH_vJs_PjaaVAXkxEIJ3GQFBUw1LOw&__tn__=%2CO%2CP-R,"Thứ bảy, 9 Tháng 3, 2024 lúc 16:43",0
"['[ GIÁO DỤC QUỐC PHONG AN NINH ] - [ HI 49K DUE Z ]\nTiệm gửi file kiểm tra đợt 1 môn này cho các bạn vừa đi quân sự về nhé. Chúc các bạn học tốt\nhttps://drive.google.com/.../1K4WRbRNEUWsS8bLNqAbw...', 'DRIVE.GOOGLE.COM\nGiáo dục quốc phòng an ninh phần 1 - Tiệm in Hi Due Z - Google Drive']","['Tất cả, 68', 'Thích, 54', 'Yêu thích, 14']","['Group zalo 1 full rồi nên tiệm gửi group 2 cho cả nhà nhaaaaaaa https://zalo.me/g/onniqb222', 'Phương Đào Duy']",8843,https://www.facebook.com/groups/614770969645645/posts/1101879347601469/?__cft__[0]=AZUb8AdwdVsW__Mus8aUPLOMYwsYazl2bBhI9ftUqXQVhN7VZOZh1aJAmIJq35jcKlhelk4vdW2S10gtlOR7enxodibIQwCN0WXVzgskIISbjk_Ix_R2H5c3y4U2XJTXUU6QpbncuqcIDaXVsDlzh__3SzlkiNfm2LyfBJQzFDciimfE9_b_2XZU-ZbSckzIZPM&__tn__=%2CO%2CP-R,"Thứ Năm, 7 Tháng 3, 2024 lúc 10:56",2
['Đi quân sự zui dữ hong mà sao nhìn rều rạo quá dị các bạn \n\n #checkinkhuquânsự '],"['Tất cả, 75', 'Thích, 33', 'Haha, 29', 'Buồn, 10', 'Yêu thích, 2', 'Thương thương, 1']","['Tâm An tung tăng đồ he', '2', 'Tâm Trần được đi ăn nên iu đời hihi', 'bới tô cơmm', '4', 'Hữu Nhân bới từ 4 rưỡi luôn á', 'Tâm Trần bới cho hết ngày 16/3', 'Hữu Nhân ngày nào mà k bới', 'Lê Vi Thảo Nguyên haizzzzzz', 'Việt Thành mong nhất giờ cơm', 'Theo dõi', 'Quân Phạm', 'Đinh Trinh hmmm']",9481,https://www.facebook.com/groups/614770969645645/posts/1101498714306199/?__cft__[0]=AZVAF9nkVurL0pqXOsEm9d9kAFKS34xF53jyFl_IElHBS1g8nGdDp1KD3nl_GoBKYqB2cB7POmMc7HWKpbbYfimg2ZABBSvUTwot2TawooYIH9NTvC8FWfHdYQ7U_hcMXzwUQDiTpH08n5mj4g1uKjW8OKzz8KsE5POYp7L7arXaYHIgTCqldAETaAWPu3Ko-1M&__tn__=%2CO%2CP-R,"Thứ Tư, 6 Tháng 3, 2024 lúc 18:03",13
