content,emoji,comment,current,time,comments_size
['Tui cần 1 bạn kèm giúp tui môn thanh toán trong ngoại thương ạ. Trả công xứng đáng ạaaa '],"['Thích, 1']",[],868,"Thứ Tư, 13 Tháng 3, 2024 lúc 08:16",0
['Em cần tìm sách dưới đâyyy ạaaaaa '],"['Thích, 4']","['Mình có tổng quan du lịch 15k', 'Nguyễn Duyên c ơi rep ib em ạ', 'Mình có gttkd', 'Mình có ạ', 'Mình có tổng quan', 'Mk có triết nha', 'Theo dõi', 'Bạn nào Tiếng Anh ở mức căn bản muốn học cải thiện,Giao tiếp hay muốn có phương pháp và định hướng tự học IELTS thì follow FB mình nhé', 'Mình có gttkd 25k']",1067,"Thứ Tư, 13 Tháng 3, 2024 lúc 08:16",9
"[' HELP ME \nCó bạn nào học lớp tiếng anh ielts inter 2 học thứ3 T4,5,6 phòng D403 không ạ. Các bạn có thông tin giảng viên lớp đó thì cho mình xin với nhé. Mình cảm ơn nhiều nhiều lắm luôn nếu nhận được sự giúp đỡ ạ!!!']",[],[],2033,"Thứ Tư, 13 Tháng 3, 2024 lúc 08:16"
['bên mình cần mẫu mi từ 9h30-18h hằng ngày free các dáng mi mới 92/58 đinh tiên hoàng.'],[],[],2510,"Thứ Tư, 13 Tháng 3, 2024 lúc 08:16"
"['Anh chị cho e hỏi điểm GPA học kì 1 có liên quan đến học kì 2 không ạ , em cảm ơn ạ']",[],[],3372,"Thứ Tư, 13 Tháng 3, 2024 lúc 08:16"
"['dạ anh, chị nào có tài liệu, bài tập kinh tế vi mô, kt vĩ mô k ạ']",[],[],3852,"Thứ Tư, 13 Tháng 3, 2024 lúc 08:16"
"['Chỉ với 90k, bạn sẽ được trải nghiệm mini golf 18 hố đầu tiên tại Hội An. Không gian mát mẻ, rộng rãi. Các hồ golf được thiết kế với nhiều hình dạng khác nhau tạo ra nhiều sự bất ngờ mang lại sự vui nhộn nhưng cũng không kém thử thách. Hãy đến FLOW CLUB - Hoi An Mini Golf để enjoy cùng bạn bè nhé. Đặc biệt, từ 18/3 đến 21/3: giảm 50% giá vé chơi mini golf cho nhóm bạn 4 người trở lên. Set kèo lên lịch để triển ngay nhé các bạn']",[],[],4296,"Thứ Tư, 13 Tháng 3, 2024 lúc 08:16"
"['Mình cần mua sách Eng Com 2, b nào có ib mình vs']",[],[],5101,"Thứ Tư, 13 Tháng 3, 2024 lúc 08:16"
['e cần tìm tl như  hình ạ + kte chính trị mac nữa ạ'],"['Tất cả, 4', 'Thích, 3', 'Yêu thích, 1']","['Mình có CNXH với LSĐ nha', 'Linh Đan ib em vs ạ', 'Mình có Tổng quan du lịch + nhập môn kinh doanh ạ', 'Võ Như Ái c có gtrinh nmkd kh ạ', 'Uyên Nhi k chị có sách thui á', 'Mk có cnxh 15k vs nmkt 25k ạ', 'Mình có gttkd 25k', 'Mình có nmkd nha', 'Theo dõi', 'Em hỗ trợ thi chứng chỉ tin học cơ bản- nâng cao thông tư 03/2014. Chi phí thấp ạ!', 'Mình có tổng quan du lịch 15k', 'Mik có cnxh', 'Có ktct', 'Có mnkd + giao tiếp + chủ nghĩa', 'Mình có tqdl nhé', 'Cnxh và lsd nha', 'Mình có LSĐ với NMKD nha', 'mình có cnxh', 'VIETCREDIT Hỗ trợ sinh viên mở thẻ dự phòng', 'Ibx để em hướng dẫn mở thẻ miễn phí 0868663940', 'Mình có giáo trình nmkd']",5621,"Thứ Ba, 12 Tháng 3, 2024 lúc 08:55",21
"['Ai có slide Hành vi tổ chức cô Mỹ Hạnh không ạ, pass e vớii \nCó ghi chú thì càng tốt ạaa']","['Yêu thích, 1']",[],6824,"Thứ Ba, 12 Tháng 3, 2024 lúc 08:17",0
['Ai có mấy môn ni ib em với híii'],"['Yêu thích, 2']","['Mình có vĩ mô', 'tớ có luật kd', 'Mình có gttkd', 'Mình có slide vĩ mô', 'Mình có giao tiếp ạ', 'Mik có full bộ luật kd nha', 'Mình có nhập môn kinh doanh vs vĩ mô', 'Có vĩ mô', 'Theo dõi', 'Mình có vĩ mô\nTặng luật kd', 'Mình có vĩ mô', 'mình có slide vĩ mô', 'mình có các bộ luật kd + đề thi + tự luận đúng sai các năm + tài liệu 45k', 'Dương Hoàng Mai ib e ạ', 'Mình có English elementary 2 còn mã ạ', 'HT Thu Thuỷ rep ib em ạ', '#DUE Bạn nào cần chứng chỉ tin học cơ bản+ nâng cao #chuẩn_đầu_ra cấp tốc ib chị hỗ trợ nhé!\nMs Tố Trinh 0358705073 (z.a.l.o)', 'Mình có sách vĩ mô ạ', 'Luật kinh doanh full bộ kèm file', 'Mình có full bộ luật kd\nGt + slide NMKD nha']",7260,"Thứ Hai, 11 Tháng 3, 2024 lúc 08:29",20
"['Em cần tìm mua sách English Communication chưa cào mã, ai có để lại cho em với ạ ']",[],[],8488,"Thứ Hai, 11 Tháng 3, 2024 lúc 08:29"
