content,emoji,comment,current,time
[],[],[],666,
[],[],[],1418,
[],[],[],666,
[],[],[],1418,
"['COMING SOON!\n Tháng 3 này, một sự kiện đặc biệt đang sắp đến gần…\n Một chương trình đến từ Mảng Kỹ Năng mở cổng chào đón những nhà thám hiểm, bạn đã sẵn sàng cho hành trình đầy thử thách này chưa?\n Sau bao ngày chờ đợi cuối cùng Cuộc Đua Kỳ Thú đã chính thức quay trở lại với nhiều thay đổi mới mẻ và hấp dẫn hơn. Chương trình hứa hẹn sẽ mang đến cho các bạn những trải nghiệm thú vị và bổ ích, giúp các bạn rèn luyện và phát triển các kỹ năng cần thiết trong cuộc sống.\n Vậy thì các thần dân của Sức Trẻ Kinh Tế ơi, đã chuẩn bị tinh thần ""quẩy"" hết mình cùng Cuộc Đua Kỳ Thú 2024 chưa nào?\n-------------------------------------------------------------------------\n#CLBSTKT #CĐKT2024 #ComingSoon #Nấm #MangKyNang', '0:02 / 0:25']","['Tất cả, 135', 'Yêu thích, 78', 'Thích, 54', 'Thương thương, 3']","['Hoàng Thị Khánh Huyền - 4 đôi thông - Chúc chương trình thành công', 'Happy New Year CUỘC ĐUA KỲ THÚ', 'Võ Thị Thùy Hân - Hay la cà - Chúc Cuộc đua kỳ thú 2024 càng đua càng thú', 'Đoàn Khánh Ly - Hay la cà - Chúc Cuộc đua kỳ thú 2024 càng đua càng thú', 'Đạt - TrônVN - Thắng làm vua, thua thì TrônVN', 'Trần Thuỷ Tiên - Hay la cà - Chúc Cuộc đua kỳ thú 2024 thành công', 'Hương Nguyên nhanh nhẹn qá ngenn', 'Hương Nguyên team đỉnh quá', 'Trần Đức Huy chơi ri tìm giải nhất rồi', 'Trần Hà nhất đâu nhường team kia rồi :)))', 'Trần Đức Huy à thế à, cả team comment nha', 'Trần Hà team kia bịp toi quá thì chịu', 'Trần Đức Huy :))))))))))) tranh giải mạnh lên, sợ gì ba đồ liu tiu diu', 'Thao Chi omo', 'Trần Hà omo trắng tinh tươmm', 'Trần T. Huỳnh Như oke tronvn', 'Đinh Thị Tú Uyên - Nonstop - Thân ái và quyết thắng!', 'Hoàng Thị Minh Hưng - Omo- Chúc cuộc đua kỳ thú 2024 diễn ra thành công', 'Phạm Thị Nhân - 4 đôi thông - Chúc chương trình thành công', 'Nguyễn Ngô Hạ My - Nonstop - THÂN ÁI VÀ QUYẾT THẮNG!!!!', 'Tưởng Trần Tường Vy-Sảnh rồng tới trắng-CĐKT 2024 thành công nhé!', 'Thương - TrônVN - Thắng làm vua, thua thì chôn chôn Việt Nam', 'Hồ Trần Tùng Lâm - Sảnh rồng tới trắng - CĐKT 2024 thành công nhé!', 'Đinh Ngọc Thảo Nhi - Sảnh rồng tới trắng - CĐKT 2024 thành công nhé!', 'Trần Quỳnh Anh chị đỉnh', 'Trần Đức Huy đúng r đó', 'Mèo - Xingiuu - chúc CĐKT cháy như team tui nhoaaa', 'Hoa - Nonstop - THÂN ÁI VÀ QUYẾT THẮNG!!!!', 'Nguyễn Thị Ngọc Lan - Rảnh rồng tới trắng - CĐKT 2024 thành công nhé!', 'Nguyễn Chiến Thắng - Omo - Chúc chương trình thành công', 'Minh Toànn chưa up sờ to rii mà cmt', 'Coá team nào hoàn thành mật lệnh chưa', 'Trần Hà chơi 1 mình đi', 'Trần Đức Huy :)))) gì trời, dễ v còn gì', 'Trần Hà Để coi bài đăng này được mấy like', 'Bao nhiêu comment nữa :)))', 'Châu - Xingiuu - Chúc CĐKT thành công', 'sắp gòi sắp gòi', 'Tới bếnnn lun đi ạaa', 'CĐKT tới chơi', 'Cmt sẵn sàng để mình lên sản phẩm típ theo nì Đinh Uyên', 'Toi muốn được chơi', 'Giật giải thôi ae uii', 'Được 4 team hoàn thành rùi cả nhà oii', 'Yehhhhhh', 'chuẩn bị sẵn sàng', 'Chuẩn bị đua thoy nào', 'cũng mún dc đi ghê', 'Trần Đức Huy hoy mà rủ đàng hoàng mà', 'Trần Đức Huy dễ sợ', 'Trần Đức Huy đợi mà không thấy ra Tệ', 'Comment mà không like là túi ngủ k yên mô nghe', 'Team toy xin phép dành slot đi chót.\nNhg vẫn bợ giải nhất Nguyễn Trần Khánh HạNguyễn Văn ToánNguyễn Khánh Linh', 'Phan Trung Nguyên team tật', 'Trần Đức Huy team nhường đó', 'Việt Nhật - TrônVN - Thắng làm vua, thua thì chôn chôn Việt Nam', 'Nguyễn Trần Duy Thiệu - Xingiuu - Chúc CĐKT thành công tốt đẹppp', 'Lê Thị Phương Thảo - Xingiu - Chúc CĐKT cháy bằng tinh thần team4', 'FatCute - Nonstop - Happy new year', 'Xem thêm 38 bình luận', '50/54']",2626,"Thứ Ba, 5 Tháng 3, 2024 lúc 20:01",61
"['[SINH HOẠT CLB] CUỘC GẶP GỠ ĐẦU NĂM\n Sau kì nghỉ Tết Giáp Thìn vừa qua chắc hẳn các thành viên của Nhà Trẻ cũng đã nhớ nhau rồi nhỉ? Và để tiếp thêm năng lượng trước khi trở lại với đường đua deadline thì CLB chúng ta đã sẽ có một buổi sinh hoạt đầu năm để gặp mặt tất cả thành viên của đại gia đình Nhà Trẻ.\n Buổi sinh hoạt diễn ra trong không khí rộn ràng với vô vàn điều thú vị đã được chuẩn bị trước. Hết tết rồi mà vẫn được nhận lì xì thì quá là thích đúng không nào? Không những vậy, các thành viên còn được chơi trò chơi để hâm nóng lại tình cảm sau bao ngày không gặp mặt và trò chuyện cùng nhau sau bao ngày xa cách!\nBuổi sinh hoạt đầu năm đã gắn kết các thành viên lại với nhau và tiếp tục tạo nên những kỉ niệm đẹp cho tất cả chúng ta. Nào, giờ thì hãy cùng chúng mình nhìn lại khoảnh khắc ngày hôm ấy nhé!\n---------------------------------------------------------------\n#CLBSTKT #SHCLB #Cuocgapgocuanhatre #Trang #TeamPhoto', '+9']","['Tất cả, 76', 'Yêu thích, 41', 'Thích, 33', 'Thương thương, 2']","['Dễ huông quá zị ta ơi', 'Dễ huông xế', 'Chọn ngày ko có mình, hay thiệt', 'Nhớ mng ghiaaaa', 'Nữa đi ạ', 'Ngọc Nhi :)))))', 'Võ Thị Đức Hạnh ơ kìa sao cười', 'Tô Thiên Nhã ái chà check var', 'Khánh Ly cổ ghiền chụp ảnh lắm c', 'Trang Đoàn cổ muốn làm đại minh tinh', 'Khánh Ly ỏooo, ngta xinh ngta có quỳn', 'Tô Thiên Nhã thôi cổ ơi :)) em lạy cổ', 'Trang Đoàn Tô Thiên Nhã cổ biết ngại (giả vờ)']",3590,"Thứ Năm, 29 Tháng 2, 2024 lúc 20:41",13
"['[HỖ TRỢ TRUYỀN THÔNG]\n[VÒNG SƠ LOẠI CẤP TRƯỜNG CUỘC THI ĐẠI SỨ SINH VIÊN MISS&MR UD 2024]\nMỞ ĐƠN ĐĂNG KÝ DÀNH CHO THÍ SINH TỰ DO\n Link đơn đăng ký: https://bom.so/EYT3TU\n Thể lệ vòng thi: https://bom.so/8wxufC\n---------------------------\nMở bát năm Giáp Thìn, DUE có gì hot bằng vòng sơ loại cấp trường cuộc thi Đại sứ Sinh viên Miss & Mr UD 2024 không nhỉ? \nSau một thời gian ăn Tết dài hạn, vòng loại cuộc thi sắc đẹp dành cho các bạn sinh viên DUE chính thức quay trở lại rồi đây! Đây là sân chơi luôn nhận được nhiều sự quan tâm và mong chờ của các bạn sinh viên bởi sự hấp dẫn, thú vị và những cơ hội lớn lao mà cuộc thi mang lại. Vòng Sơ loại lần này có thể là nơi bắt đầu của một tân Đại sứ Sinh Viên Miss&Mr UD 2024 đấy nhé !\nVậy thì còn ngần ngại gì nữa mà không nhanh tay đăng ký tham gia để được bứt phá giới hạn của bản thân, tỏa sáng và giành được ngôi vị cao quý ấy đi nào!\n---------------------------\nTHÔNG TIN ỨNG TUYỂN:\n Thời gian mở đơn đăng ký: 20/02/2024 - 28/02/2024\n Đối tượng: Sinh viên đang theo học tại trường Đại học Kinh tế - Đại học Đà Nẵng\n Thời gian diễn ra vòng sơ loại: 7h00, ngày 02/03/2024\nĐịa điểm: Hội trường E trường Đại học Kinh tế - Đại học Đà Nẵng\n--------------------------\nMọi thắc mắc xin vui lòng liên hệ: \n Email: doanthanhnien@due.edu.vn\n SĐT: 0707338075 (Bảo Quỳnh)\n Địa chỉ liên hệ: Phòng A101, Trường Đại học Kinh tế - Đại học Đà Nẵng, 71 Ngũ Hành Sơn, TP. Đà Nẵng \n#Daisusinhviendaihocdannang #YouthDUE #Miss&MrUD2024']","['Tất cả, 17', 'Thích, 9', 'Yêu thích, 8']",['Đc rồi đi thôi'],4598,"Thứ Tư, 28 Tháng 2, 2024 lúc 09:00",1
[],[],[],5705,
"['MỪNG XUÂN GIÁP THÌN 2024\n Mùa xuân - mùa của niềm tin, hy vọng, mùa của niềm vui hạnh ngộ đang về! \n Lại một năm nữa đã qua, vậy là chúng mình đã cùng nhau đồng hành, cùng nhau hoàn thành nhiệm vụ mà Sức Trẻ giao phó và tạo nên vô vàn kỉ niệm tuyệt đẹp. Vì thế Sức Trẻ biết ơn các cậu đã luôn đồng hành cùng chúng mình trong suốt những chặng đường góp nhặt yêu thương. Cảm ơn mọi người vì đã xem Nhà Trẻ là ngôi nhà thứ hai, là nơi để trở về với những tình cảm hết sức chân thật.\n Năm mới đã đến, chúc cho tất cả chúng ta sẽ có một năm ngập tràn niềm vui và hạnh phúc. Hy vọng rằng những năm tiếp theo và những năm khác nữa, các cậu vẫn sẽ luôn đồng hành với chúng mình nhé! Chúc mừng năm mới xuân Giáp Thìn 2024!\n--------------------------------------------------------------------------------------\n#CLBSTKT #Chucmungnammoi #Mungxuangiapthin2024 #Buibuine #Tuuyen', '+3']","['Tất cả, 112', 'Yêu thích, 87', 'Thích, 23', 'Thương thương, 2']","['Chúc nhà mình năm mới vui vẻ, an khang thịnh vượng nhéeee', 'Chúc mọi ngừi cung hỉ phátt tàiii', 'Năm mới vạn sự hanh thông', 'Chúc nhà mình năm mới vui vẻ nhó', 'Chúc mọi người một năm mới may mắn, nhiều niềm vui và thành công', 'Chúc cả nhà năm mới mọi việc thuận lợi', 'Năm mới bình an', 'Chúc cả nhà năm mới mau giàu', 'Vạn sự như ý', '']",6775,"Thứ bảy, 10 Tháng 2, 2024 lúc 09:00",10
"['HÀNH TRÌNH TRÒ CHƠI LỚN “TẾT HỘI NGỘ” NĂM 2024 | TẾT SẺ CHIA\n Chiến tranh đã qua đi nhưng những mất mát mà nó để lại chẳng thể xoá nhoà bởi thời gian. Mỗi người con Việt Nam nói chung và thế hệ sinh viên Việt Nam nói riêng luôn tưởng nhớ công ơn không chỉ của những người đã nằm xuống mà cả những người trở về từ khói lửa đạn bom.\n Nhân hành trình trò chơi lớn “Tết Hội Ngộ” năm 2024 được tổ chức bởi CLB Kỹ năng NBK trực thuộc trường THCS Nguyễn Bỉnh Khiêm, CLB Sức Trẻ Kinh Tế có một phần quà nhỏ gửi đến thương binh Nguyễn Văn On thuộc tổ dân phố 22, phường Hoà Quý, quận Ngũ Hành Sơn, Đà Nẵng, với mong muốn chia sẻ một cái Tết ấm áp và ý nghĩa hơn đến với gia đình bác.\n Với đạo lý uống nước nhớ nguồn đầy sâu sắc, mỗi người chúng ta cần có trách nhiệm kế thừa và phát huy những truyền thống tốt đẹp của dân tộc, bảo vệ độc lập chủ quyền của tổ quốc. Tết đến xuân về, CLB Sức Trẻ Kinh Tế kính chúc các anh hùng, thương binh và gia đình thật nhiều sức khoẻ. Cảm ơn các anh hùng đã hi sinh và cống hiến hết mình cho nền độc lập, hòa bình dân tộc.\n#Tết_Hội_Ngộ \n#Hoà_Quý\n#NBK\n#TrạmTếtSẻChia\n#STKT']","['Tất cả, 134', 'Yêu thích, 89', 'Thích, 43', 'Thương thương, 1', 'Wow, 1']","['Xịn quá', 'Ai ghép mặt e vô với']",7741,"Chủ Nhật, 4 Tháng 2, 2024 lúc 10:54",2
"['[HỖ TRỢ TRUYỀN THÔNG] \nTIA CHỚP LÓE NGANG - Ý TƯỞNG BỪNG SÁNG\n Thể lệ cuộc thi: http://tinyurl.com/thelecuocthisr2024\n Hồ sơ đăng ký dự thi: http://tinyurl.com/hosodangkysr2024\n Link đăng ký: http://tinyurl.com/formdangkysr2024\n Thời gian đăng ký: Từ ngày 22/01/2024 đến ngày 03/3/2024\n----------------------------------\nGiữa không trung sâu thẳm kia, một tia chớp lóe lên báo hiệu một điều bất ngờ đã xuất hiện. Tại lúc này, Startup Runway chính thức rẽ sóng, mở ra một chuyến phiêu lưu mới đầy những điều thú vị. Bạn đã sẵn sàng để bước vào đó chưa?  \nThời khắc quan trọng đã đến, Cuộc thi Startup Runway 2024 xin thông báo MỞ ĐƠN ĐĂNG KÝ Ý TƯỞNG. Trở lại vô cùng ấn tượng với mùa thi thứ VIII, Cuộc thi rất mong chờ những sáng kiến độc đáo đến từ các bạn trẻ từ cấp Trung học Phổ thông đến Đại học trên khắp mọi miền đất nước. Với chủ đề mới lạ nhưng đầy tính thời đại “Toward a New Era: Empowering Sustainable Entrepreneurship”, Startup Runway 2024 hy vọng sẽ trở thành đại dương rộng lớn để các nhà khởi nghiệp trẻ có thể thỏa sức vẫy vùng, cho ra đời những ý tưởng kinh doanh hữu ích cho xã hội.\nNhững vấn đề về môi trường, xã hội vẫn luôn là mối quan tâm hàng đầu của nhân loại. Là thế hệ trẻ, chúng ta cần tạo ra được những mô hình nhằm giải quyết bài toán cân bằng giữa lợi nhuận và sự phát triển bền vững của xã hội. Startup Runway 2024 tin rằng, chủ đề này sẽ tạo nên bàn đạp vững vàng, giúp các đội thi vươn xa hơn trên con đường khởi nghiệp của chính mình.\nCác bạn đã sẵn sàng để tạo nên những cơn sóng ngầm mạnh mẽ trong năm nay chưa? Hãy bắt đầu hành trình của mình và cùng Startup Runway 2024 kiến tạo nên một kỷ nguyên bền vững nhé!\n----------------------------------\nMọi thắc mắc xin vui lòng liên hệ:\n Số điện thoại: 0932947161 (Đàm Trung Việt)\n0961907152 (Hồ Phan Anh Thư)\n Email: startuprunway2024@startuprunwaydue.com\n Fanpage: Startup Runway DUE\n Group: Cộng Đồng Kết Nối Ý Tưởng Khởi Nghiệp\n Địa chỉ: Văn phòng Đoàn Thanh niên - Hội Sinh viên - Phòng A101, Trường Đại học Kinh tế - ĐHĐN.\n#Startup #runway2024 #startuprunway #DUE #TowardaNewEra #EmpoweringSustainableEntrepreneurship']","['Tất cả, 55', 'Yêu thích, 35', 'Thích, 17', 'Thương thương, 3']","['', 'Em đăng kí rồi ạaa', 'Mỹ Linh thiệc khum', 'Chị check hộ em vứii ạa, đợi em rinh giải dề', '', 'Tấn Đức clb ni tuyệt vời quá ạ', 'Thanh Hoài chứ còn gì em', 'Đinh Văn Kỳ hứ không nói thì chắc ko ấy quá', 'Xịn qá trrr', 'goooooo', 'Đăng ký thuiiii', 'Đii thuii', 'Cho em hỏi em có ý tưởng nhưng mà chưa có đồng đội thì phải làm sao ạ chị Ngọc Ánh Phan ơi', 'tham gia thoi', 'Còn chần chừ gì mà chưa đăng ký !!']",8644,"Thứ Tư, 24 Tháng 1, 2024 lúc 20:00",15
"['[HỖ TRỢ TRUYỀN THÔNG] \n[HOẠT ĐỘNG: SÁCH CŨ - TRI THỨC MỚI MÙA 2]\nNÂNG TẦM TRI THỨC - DẪN LỐI ƯỚC MƠ\nQuy định đổi trả: https://drive.google.com/.../1F8e.../view...\nĐơn đăng ký: https://forms.gle/cFaQkrq7qnQjskSh9\n-----------------------------------\nTiếp nối thành công rực rỡ của Mùa 1, hoạt động “Sách cũ - Tri thức mới Mùa 2” đã chính thức trở lại. Năm nay, ngày hội hứa hẹn sẽ mang những giấc mơ “xanh” cập bến tại Green University DUE - nơi những ước mơ nằm gọn trên trang giấy sẽ được tiếp diễn một lần nữa.\nHoạt động được tổ chức với mục đích tạo cơ hội cho các bạn sinh viên được trao đổi, mua lại các loại sách, giáo trình cũ. Đồng thời, nâng cao nhận thức của Greeners về việc tái sử dụng, bảo vệ môi trường và khuyến khích mọi người đọc sách nhiều hơn.\nChính vì thế, các bạn đừng quên canh thời gian và gom thật nhiều sách để thực hiện hoạt động ý nghĩa này cùng GUD nhé! Cổng đăng ký ký gửi của hoạt động đã bắt đầu được mở ra rồi đấy, nhanh tay điền đơn thôi nào các Greeners ơi!\n-----------------------------------\n- Thời gian mở form nhận sách: 09/01/2024 -  17/01/2024\n- Thời gian thu gom sách trực tiếp: 12/01/2024 - 17/01/2024\n- Thời gian đổi giáo trình: 19/01/2024 - 20/01/2024\n- Thời gian hoàn trả sách: 22/01/2024\n- Địa điểm: Sảnh A, Trường Đại học Kinh tế - Đại học Đà Nẵng\n------------------------------------\n Green University DUE - Dự án Đại học Xanh\n Số điện thoại: 0236 3950 358 (Văn phòng Đoàn Thanh niên - Hội Sinh viên DUE)\n0889 377 251 (Ms. Quỳnh Như)\n Gmail: greenuniversitydue@gmail.com\n Địa chỉ: Trường Đại học Kinh tế - Đại học Đà Nẵng, 71 Ngũ Hành Sơn, TP Đà Nẵng.\n#GreenUniversity #DUE #SCTTM2\n CAM Media - Youth DUE ']","['Tất cả, 39', 'Yêu thích, 25', 'Thích, 12', 'Thương thương, 2']","['Tui đi ký gửi lìn đaiiii', 'đi soạn sách cũ thoyyy', '']",9568,"Thứ Ba, 16 Tháng 1, 2024 lúc 20:01",3
"['[TÌNH NGUYỆN ĐÔNG MÙA GIÓ ẤM 2024] KHÉP LẠI MỘT CHẶNG ĐƯỜNG DÀI\n 2 tháng - 5 hoạt động - 3 ngày 2 đêm - 1 mục tiêu. Đó là những con số biết nói về chặng đường dài mà đại gia đình Nhà Trẻ đã cùng nhau trải qua.  Mỗi một giây phút trôi qua, chúng mình càng thêm biết ơn và trân trọng khoảng thời gian tuyệt vời ấy.\n Đã gần một tuần kể từ ngày Chiến dịch Tình nguyện đông Mùa Gió Ấm 2024 khép lại nhưng những hình ảnh về xã Jơ-Ngây thân yêu vẫn còn in đậm trong tâm trí của mỗi tình nguyện viên. Tựa như mới vừa hôm qua thôi, những cô cậu thanh niên tràn đầy nhiệt huyết của tuổi trẻ khoác trên mình chiếc áo sắc thiên thanh, trao gửi yêu thương đến với những mảnh đời còn thiếu may mắn nơi vùng núi xa xôi. Cảm giác bồi hồi và tình cảm khó tả ấy, vẫn còn tại nơi đây, vẹn nguyên như lúc ban đầu.\n Trên chặng hành trình ấy, chúng mình đã kịp ghi lại những khoảnh khắc, kỷ niệm thanh xuân tươi đẹp. Giờ thì hãy cùng nhau nhìn lại và hồi tưởng khoảng thời gian tuyệt vời ấy nhé!\n----------------------------------------------------------------------\n#CLBSTKT #MGA2024 #kheplaihanhtrinh #KLy #TLam #TMT #TuongVy', '0:06 / 7:51']","['Tất cả, 266', 'Yêu thích, 178', 'Thích, 84', 'Thương thương, 4']","['Để tui đếm coi mìn xuất hiện được bao nhiu lần', 'Khóc đây', 'Ai biểu nhắc lại chi cho nhớ vậy', 'Đinh Văn Kỳ nhớ em nào :)))', '', 'Nhớ quá đi', 'nhớ qa đii', 'nhớ cảm giác nằm võng của anh Minh Toànn ạaa', 'Khánhh Nghĩa xịn xò liền đúm hơm =)))', 'Minh Toànn đúm ạ đâu phại ai cũm đc nằm', 'Minh Toànn Khánhh Nghĩa giặt gấu chưa', 'Trần T. Huỳnh Như gòi c ơi', '', 'Nhớ cái ôm của Kiều Nhi và chị Trần T. Huỳnh Như quá ạaaaa', 'Trần Diệu Trang đi', 'Nguyễn Thị Lan Phương soạn đồ đi', 'Trần Diệu Trang không cần soạn, trên nứ có áo clb cụa toi rồi', 'Nhớ mấy quả bắp nướng quá iiii', 'mọi người ai cũng tuyệt vời !!!!!', 'Huyền Trang ai chọc chi mí bà Trần Diệu Trang Minh Thư', 'Nguyễn Thị Lan Phương =))) tui có nhăn đoạn nào hả bà nhỏ', 'Minh Thư bà coi lại slg SC đi giựnnnnn', 'Nguyễn Thị Lan Phương iu thương nên cho dô slogan đoá', 'Đi lại điii', 'Nhớ', 'Mai Trâm hờn me trâm, quay vd stl mà cét khúc tui là reng', 'Nguyễn Thị Lan Phương xí xoá iii, bù lại 7749 cảnh quay đẹp coá LP r còn gì', 'khom có iem ạ']",10468,"Chủ Nhật, 14 Tháng 1, 2024 lúc 20:54",28
"['BÌNH TĨNH - TỰ TIN - QUYẾT THẮNG\n Đếm ngược thêm vài giờ đồng hồ nữa thôi, các sĩ tử 49K sẽ chính thức bước vào kỳ thi kết thúc học phần đầu tiên dưới mái trường DUE. Chắc hẳn các bạn đang rất hồi hộp xen lẫn đôi chút lo âu phải không?\n Chúng mình tin rằng những ngày qua các bạn đã nỗ lực hết sức mình cho việc ôn tập và tổng hợp lại kiến thức. Hãy nhớ rằng mỗi giây phút, mỗi câu hỏi là cơ hội cho các bạn chứng minh bản thân, khả năng và kiến thức mà các bạn đã tích luỹ xuyên suốt quá trình học tập. Mong rằng các bạn sẽ luôn bình tĩnh, tự tin để đưa ra những quyết định đúng đắn nhất cho bài thi của mình.\n️\n Cuối cùng, Nhà Trẻ xin chúc cho tất cả các sĩ tử 49K có một mùa thi diễn ra thật suôn sẻ và thành công. Chúc các bạn đạt được kết quả như mong đợi và đón một mùa Tết thật trọn vẹn nhé!\n-------------------------------------------------------------------------------------------\n#CLBSTKT #thitot #Winter #GB']","['Tất cả, 131', 'Yêu thích, 87', 'Thích, 41', 'Thương thương, 3']","['Thi thật tối dìa ăn tết thui\nMai Thị Thúy Hồng Mai Cúc Mỹ Linh Trần Thị Tú Cẩm Nguyễn Vy Hiền Trang Ý Như Diệu Linh', 'Quỳnh Nhi xin vía chị nhi nhó', 'qua môn qua môn qua môn', 'Dịu Phạm A+ chớ', 'Ngọc Lan dạ thôi qua môn là được chị ơi. ko bỏ tiền học lại là đc:))', 'CLB Sức Trẻ Kinh Tế Trội ôi nhà trẻ tâm lý quá!! Xin vía full A ạ!!', 'Cố lên nhé', 'Full A nha ạ', 'Thảo Ngọc dzo đừng cắn bút nha', 'Tống Cẩm Quỳnh chắc nà ra phòng thi đầu tiên do hỏng bíc nàm qa', 'Thảo Ngọc tửng bước ga tự tin lém', 'Tống Cẩm Quỳnh bà đón tui ik', 'Thảo Ngọc đón xong t tung hô m lung', 'Tống Cẩm Quỳnh thoaiiii tui hướng lội đừng làm thée', 'Nguyen Thi Le Quyen Trang Đoàn Hong Anh thii giựt A+ 4.00 ngheeee', 'Giang Võ', 'Giang Võ']",11278,"Chủ Nhật, 14 Tháng 1, 2024 lúc 09:00",17
