content,emoji,comment,current,time
"[' [TUYỂN DỤNG] CÔNG TY CỔ PHẦN LOGISTICS CẢNG ĐÀ NẴNG (DANALOG) TUYỂN THỰC TẬP SINH \n Công ty Cổ phần Logistics Cảng Đà Nẵng (Danalog) được thành lập vào năm 2009. Là nhà cung cấp dịch vụ logistics chuyên nghiệp và uy tín tại miền trung Việt Nam với gần 200 nhân sự chất lượng cao.\n Để hỗ trợ quá trình Số hóa & Chuyển đổi số hiện Danalog đang thực hiện có nhu cầu các vị trí thực tập sinh cho các vị trí BA (Business Analyst) như sau:\n1. Số lượng: 02-04 BA\n2. Mô tả công việc:\n- Tham gia vào quá trình Chuyển đổi số bằng việc tìm hiểu và số hóa các quy trình nghiệp vụ (kho CFS, kho ngoại quan, vận tải, Depot…)\n- Xây dựng các tài liệu phân tích, đặc tả yêu cầu, mô hình hóa quy trình nghiệp vụ\n- Xây dựng các ứng dụng thông qua các nền tảng No-Code (Appsheet…) (không bắt buộc)\n3. Yêu cầu:\n- Sinh viên năm 2-4 các ngành Thương mại Điện tử, Kinh doanh Quốc tế, MIS…\n- Chịu khó, tận tâm, ham học hỏi.\n- Có hiểu biết về Phân tích nghiệp vụ (đã từng học hoặc thực tập).\n- Biết sử dụng hoặc có khả năng học các công cụ: figma, draw.io…\n- Có khả năng tham gia thực tập ít nhất 03 ngày/tuần.\n- Cam kết thực tập ít nhất 06 tháng.\n- Tiếng Anh: Tốt\n4. Quyền lợi:\n- Được tham gia vào các bài toán thực tế của doanh nghiệp\n- Được đào tạo, hướng dẫn bởi mentor nhiều kinh nghiệm trong lĩnh vực Chuyển đổi số & Logistics\n- Hỗ trợ đóng dấu thực tập (nếu cần)\n- Những yêu cầu ở trên (về năng lực) là ưu tiên, nhưng không bắt buộc nếu ứng viên cam kết nỗ lực học hỏi.\n5. Mọi thông tin vui lòng liên lạc:\n(Mr.) Vũ Huy Bình\nGiám đốc Chuyển đổi số & Trường phòng kinh doanh\nDi động (zalo): 0905300181\nEmail: binhvh@danalog.com.vn']","['Tất cả, 36', 'Thích, 29', 'Yêu thích, 7']",[],1182,"Chủ Nhật, 10 Tháng 3, 2024 lúc 19:30"
"[' TILLING TIMBER / MYTEAM GIỚI THIỆU CHƯƠNG TRÌNH HỌC BỔNG, CHƯƠNG TRÌNH THỰC TẬP VÀ CHƯƠNG TRÌNH TUYỂN DỤNG \n Thông báo chi tiết: https://drive.google.com/.../1rRk.../view...\n-------\n Tilling Timber Pty Ltd là một doanh nghiệp lâu đời của Úc với lịch sử 60 năm. Công ty được công nhận là nhà nhập khẩu Sản phẩm Gỗ Kỹ thuật lớn nhất của Úc và các sản phẩm liên quan khác hỗ trợ ngành xây dựng Úc.\n Năm 2022, Tilling Timber mở Văn phòng đại diện Việt Nam tại Thành phố Hồ Chí Minh và vào năm 2023 Tilling đã mở Văn phòng đại diện thứ hai tại Đà Nẵng. Nhằm phục vụ quá trình phát triển liên doanh của Tilling ở Việt Nam, Tilling Timber hiện đã mở rộng thêm hình thức hoạt động kinh doanh theo hình thức Công ty có vốn đầu tư nước ngoài - Công ty TNHH MyTeam VietNam.\n-------\n MYTEAM/ TILLING TRIỂN KHAI CHƯƠNG TRÌNH HỌC BỔNG\n1. Mục đích: Hỗ trợ sinh viên tại Đại học Đà Nẵng có thành tích học tập xuất sắc và có hoàn cảnh khó khăn về tài chính.\n2. Giá trị học bổng: 875 AUS - 1,750 AUS mỗi sinh viên, hàng năm\n3. Số lượng học bổng mỗi năm:\n- 3 học bổng toàn phần dựa trên thành tích học tập (Tương đương 1,750 AUS)\n- 3 học bồng bán phần (trị giá 50% học phí) dựa trên thành tích học tập (Tương đương 875 AUS)\n- 1 học bổng toàn phần cho sinh viên gặp khó khăn tài chính (Tương đương 1,750 AUS)\n4. Quy trình đăng ký:\nSinh viên đăng ký ứng tuyển học bổng trực tuyến và gửi hồ sơ gồm các tài liệu liên quan theo yêu cầu về Công ty TNHH MyTeam VietNam/ VPĐD Tiling Timber Pty Ltd tại TP Đà Nẵng qua email Lanh.Huynh@MyTeamsolution.com.au.\n- Thời hạn đăng ký: Trước 23:59 ngày 15/03/2024\n- Thời gian xét duyệt: 01-02 tuần\n5. Điều kiện hợp lệ, Quá trình lựa chọn: Xem trong link đính kèm.\n-------\n MYTEAM/ TILING TUYỂN DỤNG THỰC TẬP SINH\n1. Mục đích: Hỗ trợ các cá nhân tài năng phát triển năng lực bằng cách đào tạo kỹ năng và cung cấp hỗ trợ tài chính cũng như cơ hội tiếp xúc với các dự án quốc tế.\n2. Giá trị chương trình thực tập: 1.500 AUS/ suất\n3. Số thực tập sinh: 5 đến 10 thực tập sinh mỗi năm\n4. Vị trí thực tập sinh:\n- English Admin Coordinator\n- Accountant\n5. Hỗ trợ tài chính: Lương cứng mỗi tháng: 3.500.000 VNĐ/ tháng\n6. Địa điểm và thời gian làm việc:\n- Công ty TNHH MyTeam VietNam/ VPĐD Tilling Timber Pty Ltd tại TP Đà Nẵng - Tầng 6-7-8-9, 97 Xô Viết Nghệ Tĩnh, Phường Khuê Trung, Quận Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam.\n- Thời lượng: 08 tuần/ thực tập sinh (Gồm 08 tuần đào tạo tại chỗ có lương).\n- Thời gian làm việc: 20 giờ/ tuần\n7. Quy trình đăng ký:\nSinh viên đăng ký ứng tuyển thực tập sinh trực tuyến và gừi hồ sơ gồm các tài liệu liên quan theo yêu cầu về Công ty TNH MyTeam VietNam/ VPĐD Tilling Timber Pty Ltd tại TP Đà Nẵng qua email Recruitment@myteamsolution.com.au.\n- Thời hạn đăng ký: Trước 23:59 ngày 15/03/2024\n- Thời gian xét duyệt: 01-02 tuần\n8. Chương trình thực tập, Lợi ích chương trình, Tiêu chí ứng tuyển, Các tài liệu yêu cầu: Xem trong link đính kèm.\n-------\n MYTEAM/ TILING TUYỂN DỤNG NHÂN VIÊN CHÍNH THỨC\n1. Vị trí:\n- English Admin Coordinator - số lượng: 3\n- Accountant - số lượng: 3\n2. Yêu cầu công việc, Mô tả công việc chi tiết, Quyền lợi, Hồ sơ xin việc: Xem trong link đính kèm.\n-------\n THÔNG TIN LIÊN HỆ\nPhòng nhân sự\nĐiện thoại: 0236 650 9550\nEmail: Recruitment@myteamsolution.com.au\nTrang web: https://www.myteamsolution.com.au\nLinkedIn: https://www.linkedin.com/company/myteam-pty-ltd/']","['Tất cả, 23', 'Thích, 18', 'Yêu thích, 5']",[],2715,"Chủ Nhật, 10 Tháng 3, 2024 lúc 09:30"
"['[TỔNG KẾT HOẠT ĐỘNG THAM QUAN CÔNG TY CỔ PHẦN DỆT MAY HÒA THỌ] ĐỒNG HÀNH CÙNG SINH VIÊN CHƯƠNG TRÌNH CỬ NHÂN KINH DOANH QUỐC TẾ GIẢNG DẠY BẰNG TIẾNG ANH\n Ngày 08/03 vừa qua, Khoa Kinh doanh quốc tế (KDQT) đã tổ chức thành công buổi tham quan doanh nghiệp tại công ty cổ phần Dệt may Hòa Thọ - đơn vị thành viên của Tập đoàn Dệt may Việt Nam (Vinatex) và Hiệp hội Dệt may Việt Nam (Vitas) thuộc Bộ Công thương, phòng Thương mại và Công nghiệp Việt Nam (VCCI). Đoàn tham quan gồm 79 sinh viên năm thứ nhất chương trình cử nhân KDQT giảng dạy bằng tiếng Anh (lớp 49K1.1E và 49K1.2E) dưới sự dẫn dắt của TS. Phùng Nam Phương (phó trưởng Khoa KDQT), cùng ThS. Dương Thúy Quỳnh (giáo vụ khoa KDQT), ThS. Nguyễn Thị Phương Thảo (giáo viên chủ nhiệm lớp 49K1.1E) và ThS. Trần Thị Minh Duyên (giáo viên chủ nhiệm lớp 49K1.2E).\n Buổi ngoại khóa nhằm mục đích tạo điều kiện cho các bạn sinh viên 49K1E được trải nghiệm hoạt động sản xuất, các khâu vận hành trong một doanh nghiệp. Những chuyến tham quan thực tế này là hoạt động thường niên dành cho sinh viên chương trình cử nhân KDQT giảng dạy bằng tiếng Anh, thể hiện nỗ lực của Trường Đại học Kinh Tế, Đại học Đà Nẵng và Khoa KDQT trong việc kết nối với các công ty, các nhà tuyển dụng tiềm năng, giúp sinh viên rút ngắn khoảng cách giữa lý thuyết và thực tiễn. Đây cũng là một trong những lý do chính thu hút sự quan tâm lớn của phụ huynh và học sinh khi lựa chọn chương trình cử nhân KDQT giảng dạy bằng tiếng Anh.\n Đến với công ty Hòa Thọ, các bạn sinh viên đã có cơ hội được lắng nghe và trao đổi với cô Trần Tường Anh, Phó Tổng giám đốc Tổng CTCP dệt may Hòa Thọ về lịch sử hình thành và quá trình phát triển không ngừng trong hoạt động kinh doanh; đặc biệt là các hoạt động kinh doanh quốc tế trong hiện tại và định hướng phát triển trong tương lai của công ty. Các bạn sinh viên cũng vô cùng háo hức khi được chiêm ngưỡng các dây chuyền sản xuất mà trước đây chỉ từng được xem trên màn ảnh hoặc các trang thông tin đại chúng. Với sự am hiểu kiến thức chuyên môn cũng như những kinh nghiệm làm việc và sự nhiệt tình của anh chị ban quản lý, các IB-er đã lần lượt được hướng dẫn tham quan nhà máy sợi và nhà máy may của công ty, được tiếp cận dây chuyền sản xuất tự động hóa. Thú vị hơn nữa là các bạn sinh viên còn được trò chuyện trực tiếp với những anh chị nhân viên vận hành dây chuyền sản xuất tại hai nhà máy để hiểu hơn về các quy trình của công việc.\n Cuối cùng, Khoa KDQT - trường Đại học Kinh tế - ĐHĐN xin chân thành cảm ơn công ty cổ phần Dệt may Hòa Thọ đã tạo điều kiện, phối hợp cùng với Khoa để tổ chức một buổi tham quan doanh nghiệp đầy thú vị và ý nghĩa. Hy vọng rằng chuyến đi này sẽ là cơ hội cho các bạn sinh viên tiếp nhận những kiến thức liên quan, hiểu rõ hơn về ngành học cũng như khơi gợi, mở ra những định hướng nghề nghiệp cho tương lai.']","['Tất cả, 50', 'Thích, 26', 'Yêu thích, 23', 'Haha, 1']",[],5122,"Thứ bảy, 9 Tháng 3, 2024 lúc 19:16"
"['SINH HOẠT NHÓM ĐỌC KHOA KINH DOANH QUỐC TẾ NGÀY 08/03\n Sáng hôm qua, 08/03, buổi sinh hoạt nhóm đọc định kỳ khoa Kinh doanh quốc tế đã diễn ra với sự trình bày của ThS. Nguyễn Anh Tuấn với chủ đề ""Cuộc khủng hoảng kinh tế hiện tại ở Trung Quốc"" và TS. Trần Thị Ngọc Duy với chủ đề ""Tìm hiểu các hình thức học hỏi được vận dụng trong quá trình thâm nhập thị trường nước ngoài của các công ty đa quốc gia”.\nBuổi sinh hoạt nhóm đọc đã diễn ra thành công với sự tham gia thảo luận sôi nổi của các thành viên. \nThông tin chi tiết về từng chủ đề được đính kèm trong hình.']","['Tất cả, 28', 'Yêu thích, 17', 'Thích, 11']",[],6878,"Thứ bảy, 9 Tháng 3, 2024 lúc 10:50"
"['UPDATE: Khoa đã nhận đủ số lượng 40 sinh viên đăng ký. Những sinh viên chưa đăng ký được có thể đăng ký vào các đợt tham quan doanh nghiệp sau.\nDanh sách sinh viên đã đăng ký thành công: https://docs.google.com/.../1NbLZQ5R4NbjEatm.../edit...\n-------------------------------\nTHÔNG BÁO ĐĂNG KÝ THAM QUAN THỰC TẾ CÔNG TY BIA HENEIKEN CHO SINH VIÊN 47K - ĐỢT 1\nThời gian: 7h30 Thứ Tư, ngày 13/03/2024\nĐịa điểm: tập trung tại sảnh tòa nhà hành chính \nLệ phí: 40.000/sinh viên (phục vụ thuê xe di chuyển) \nSố lượng: 40 sinh viên\nKỳ 2 năm học 2023-2024, Bộ môn KDQT sẽ tổ chức cho sinh viên các lớp 47K đi tham quan thực tế tại các doanh nghiệp trên địa bàn TP. Đà Nẵng và ở buổi ngoại khóa tham quan đầu tiên này, Bộ môn sẽ tổ chức cho sinh viên đi tham quan nhà máy bia Heineken. Sinh viên đọc kỹ các lưu ý dưới đây trước khi đăng ký: \n1. Tham quan thực tế tại doanh nghiệp cũng thuộc vào hoạt động ngoại khóa bắt buộc nên sinh viên được yêu cầu tham gia 01 lần/sinh viên (có điểm danh). \n2. Trong trường hợp SV chưa thể đăng ký tham quan Heineken do hết suất/cấn lịch học thì có thể đăng ký vào các doanh nghiệp sau, và SV khi đăng ký thì bắt buộc phải đi, nếu không đi thì sẽ bị trừ 10 điểm rèn luyện và sẽ không được đăng ký cho lần tham quan tiếp theo\n3. SV khi đăng ký vui lòng cung cấp minh chứng đã nộp lệ phí, trong trường hợp quá số lượng đăng ký mà SV đã chuyển khoản thì sẽ được hoàn lại tiền\n4. Vì có hoạt động tham quan thực tế tại DN nên kỳ 2 khoa chỉ tổ chức 2 buổi ngoại khóa học thuật vào ngày 07/04 và 21/04\nLink đăng ký: https://forms.gle/FhASYX1Mct1MnN3j7\nThời hạn đăng ký: cho đến khi đủ số lượng']","['Tất cả, 22', 'Thích, 14', 'Yêu thích, 8']",[],7656,"Thứ Sáu, 8 Tháng 3, 2024 lúc 19:33"
"[' CHÚC MỪNG NGÀY QUỐC TẾ PHỤ NỮ 8/3 (1857-2024) \n “Tiếng thác đổ đã vắng,\nTừ bao nhiêu năm rồi.\nCó chăng tên tuổi thác,\nÂm hưởng vọng ngàn đời.”\n(Bài thơ số 55 trích trong “Thơ Waka trăm nhà”)\n Giống như tiếng thác dù trải qua bao năm vẫn âm vọng ngàn đời, vẻ đẹp của người phụ nữ vẫn luôn trường tồn từ xa xưa đến tận ngày nay và cho đến mãi về sau. Trải qua những khó khăn và bộn bề trong cuộc sống, những người phụ nữ đã và đang là những “bông hồng thép” không chỉ mềm mại, dịu dàng mà còn rực rỡ vẻ đẹp của ý chí, tinh thần kiên định, vượt qua mọi thử thách để khẳng định mình, khẳng định vai trò quan trọng của bản thân trong gia đình và xã hội.\n Là những ""nữ tướng"" trên giảng đường, các quý cô giáo Khoa Kinh doanh Quốc tế luôn truyền cảm hứng cho sinh viên bằng sự nhiệt huyết, tâm huyết và cả trái tim nhân ái. Lời giảng của các cô như những vần thơ êm ái, chắp cánh cho bao thế hệ sinh viên bay cao vào bầu trời tri thức. Bên cạnh đó, những nữ sinh viên tài năng Khoa Kinh doanh Quốc tế luôn thể hiện bản lĩnh, ý chí và sự quyết tâm chinh phục tri thức. Với sự thông minh, sáng tạo và năng động, các bạn đã khẳng định vị trí của mình trong mọi lĩnh vực, góp phần tô điểm thêm cho bức tranh rực rỡ của Khoa.\n Nhân ngày 8/3, Khoa Kinh doanh Quốc tế xin gửi lời chúc đến các quý cô giáo luôn xinh đẹp, trẻ trung, hạnh phúc và thành công trong sự nghiệp cao cả của mình, chúc các bạn nữ sinh viên luôn học tập tốt, đạt nhiều thành tích cao trong học tập và rèn luyện, trở thành những người phụ nữ bản lĩnh, độc lập và thành công trong tương lai.']","['Tất cả, 77', 'Yêu thích, 48', 'Thích, 29']",[],8977,"Thứ Sáu, 8 Tháng 3, 2024 lúc 08:00"
"[' KHOA KINH DOANH QUỐC TẾ - CẦU TIẾN, NĂNG ĐỘNG, HỘI NHẬP \n Mã trường: DDQ\n Mã ngành: 7340120\n Mã tổ hợp xét tuyển: A00 (Toán, Lý, Hoá), A01 (Toán, Lý, Anh), D01 (Toán, Văn, Anh), D90 (Toán, Khoa học tự nhiên, Anh)\n Năm học 2024-2025, Khoa Kinh doanh quốc tế tuyển sinh đại học hệ Chính quy đối với 𝟬𝟮 phương thức đào tạo: Chương trình cử nhân Kinh doanh quốc tế giảng dạy bằng tiếng Việt và Chương trình cử nhân Kinh doanh quốc tế giảng dạy bằng tiếng Anh với tổng chỉ tiêu tuyển sinh là 265 chỉ tiêu, trong đó:\n- 𝟬𝟱 chỉ tiêu: Xét tuyển thẳng những thí sinh đạt giải trong các kỳ thi học sinh giỏi quốc gia, quốc tế.\n- 𝟭𝟱𝟬 chỉ tiêu: Xét tuyển dựa trên thành tích học tập và năng lực ngoại ngữ.\n- 𝟱𝟬 chỉ tiêu: Xét tuyển dựa trên kết quả học tập THPT (học bạ) của ba môn trong tổ hợp môn xét tuyển.\n- 𝟭𝟬 chỉ tiêu: Xét tuyển dựa trên kết quả thi đánh giá năng lực của Đại học quốc gia thành phố Hồ Chí Minh năm 2024\n- 𝟱𝟬 chỉ tiêu: Xét tuyển dựa trên kết quả thi tốt nghiệp THPT năm 2024\n________\nĐể cập nhật thông tin tuyển sinh mới nhất, vui lòng truy cập:\n Website Tuyển sinh ĐH Kinh tế - ĐHĐN: http://due.udn.vn/vi-vn/tuvantuyensinh\n Website của Khoa Kinh doanh quốc tế: https://due.udn.vn/vi-vn/khoa/kinh-doanh-quoc-te\n Mọi thắc mắc vui lòng liên hệ Fanpage Khoa Kinh doanh quốc tế - Đại học Kinh tế - ĐHĐN để được giải đáp.\n____________\n#khoakinhdoanhquocte #IB\n#tuyensinh #tuyensinh2024 #tuvantuyensinh #xettuyen #tuyenthang #chinhquy #quocte']","['Tất cả, 13', 'Yêu thích, 8', 'Thích, 5']",[],10290,"Thứ Năm, 7 Tháng 3, 2024 lúc 19:26"
"[' KHOA KINH DOANH QUỐC TẾ - CẦU TIẾN, NĂNG ĐỘNG, HỘI NHẬP \n Mã trường: DDQ\n Mã ngành: 7340120\n Mã tổ hợp xét tuyển: A00 (Toán, Lý, Hoá), A01 (Toán, Lý, Anh), D01 (Toán, Văn, Anh), D90 (Toán, Khoa học tự nhiên, Anh)\n Đánh dấu với gần 35 năm thành lập và phát triển, Khoa Kinh doanh Quốc tế - Đại học Kinh tế - Đại học Đà Nẵng tự hào là một trong những đơn vị tiên phong trong công tác đào tạo nguồn nhân lực chất lượng cao cho ngành Kinh doanh quốc tế, chuyên ngành Ngoại thương, một lĩnh vực quan trọng trong bối cảnh hội nhập, toàn cầu hóa ngày nay.\n Bắt nhịp xu thế, đổi mới sáng tạo là kim chỉ nam cho mọi hoạt động giáo dục sinh viên Khoa Kinh doanh quốc tế. Nắm bắt nhu cầu thị trường và xu hướng toàn cầu, Khoa không ngừng đổi mới chương trình đào tạo, cập nhật kiến thức chuyên môn hiện đại, đồng thời chú trọng rèn luyện kỹ năng mềm cần thiết cho sinh viên.\n Chương trình đào tạo tiên tiến:\n Cử nhân Kinh doanh quốc tế (chuyên ngành Ngoại thương) là Chương trình đào tạo đã khẳng định được vị thế và uy tín trong lòng các bậc phụ huynh và sinh viên nhiều năm qua.\n Cử nhân KDQT giảng dạy bằng tiếng Anh là Chương trình đào tạo chính quy giảng dạy bằng tiếng Anh được triển khai từ năm học 2022-2023, đáp ứng nhu cầu hội nhập quốc tế, đào tạo nguồn nhân lực chất lượng cao cho các tập đoàn lớn và công ty đa quốc gia. Với chương trình mới này, sinh viên được trang bị các kiến thức chuyên môn và rèn luyện kỹ năng nghề nghiệp chuẩn quốc tế cùng khả năng sử dụng tiếng Anh lưu loát. Bên cạnh đó, sinh viên có thể rèn luyện khả năng tự học, tự nghiên cứu để giải quyết vấn đề nhằm thích ứng với môi trường thay đổi nhanh chóng.\n Cơ hội học tập và trải nghiệm của sinh viên Khoa KDQT: \n Tham gia các hội thảo, workshop chuyên đề do Khoa tổ chức với sự tham gia của các chuyên gia, doanh nghiệp uy tín.\n Trao đổi sinh viên với các trường đại học quốc tế, tạo điều kiện học tập và trải nghiệm môi trường giáo dục tiên tiến.\n Tham gia các hoạt động ngoại khóa, rèn luyện kỹ năng mềm và phát triển bản thân.\n Năm học 2024-2025, Khoa Kinh doanh quốc tế tuyển sinh đại học hệ Chính quy đối với 𝟬𝟮 phương thức đào tạo: Chương trình cử nhân Kinh doanh quốc tế giảng dạy bằng tiếng Việt và Chương trình cử nhân Kinh doanh quốc tế giảng dạy bằng tiếng Anh với tổng chỉ tiêu tuyển sinh là 265 chỉ tiêu, trong đó:\n- 𝟬𝟱 chỉ tiêu: Xét tuyển thẳng những thí sinh đạt giải trong các kỳ thi học sinh giỏi quốc gia, quốc tế.\n- 𝟭𝟱𝟬 chỉ tiêu: Xét tuyển dựa trên thành tích học tập và năng lực ngoại ngữ.\n- 𝟱𝟬 chỉ tiêu: Xét tuyển dựa trên kết quả học tập THPT (học bạ) của ba môn trong tổ hợp môn xét tuyển.\n- 𝟭𝟬 chỉ tiêu: Xét tuyển dựa trên kết quả thi đánh giá năng lực của Đại học quốc gia thành phố Hồ Chí Minh năm 2024\n- 𝟱𝟬 chỉ tiêu: Xét tuyển dựa trên kết quả thi tốt nghiệp THPT năm 2024\n Nếu bạn còn thắc mắc về chuyên ngành Ngoại thương và cơ hội việc làm sau khi ra trường? Hãy cùng tìm hiểu ngay sau đây nhé!\n Ngoại thương - Lĩnh vực năng động, dẫn đầu xu hướng: Thuộc nhóm ngành kinh doanh, Ngoại thương là một lĩnh vực năng động, mang tính toàn cầu và đón đầu xu hướng trong thời đại mới. Ngành học cung cấp cho sinh viên kiến thức tổng quan về quản trị kinh doanh, chiến thuật, chiến lược kinh doanh xuyên quốc gia và khu vực.\n Mục tiêu đào tạo: Chương trình đào tạo ngành Kinh doanh quốc tế được thiết kế tỉ mỉ và chặt chẽ với cấu trúc và nội dung đáp ứng nhu cầu thực tế. Sinh viên sẽ được trang bị:\n- Kiến thức nền tảng và chuyên ngành về khoa học xã hội, kinh tế, văn hóa, chính trị ảnh hưởng đến kinh doanh quốc tế.\n- Kỹ năng quản lý, tư duy nhận biết các khía cạnh xã hội làm tiền đề vững chắc giúp sinh viên có khả năng làm việc hiệu quả trong tổ chức và doanh nghiệp hay kinh doanh trong lĩnh vực ngoại thương.\n Cơ hội việc làm: Sinh viên tốt nghiệp có cơ hội làm việc tại các tập đoàn đa và xuyên quốc gia, các công ty xuất nhập khẩu và logistics, các tổ chức nghiên cứu thị trường, cơ quan hải quan, các tổ chức tài chính - ngân hàng, đại diện thương mại của nước ngoài ở Việt Nam hay các tham tán thương mại của Việt Nam ở nước ngoài,…\n 𝑲𝒉𝒐𝒂 𝑲𝒊𝒏𝒉 𝒅𝒐𝒂𝒏𝒉 𝒒𝒖𝒐̂́𝒄 𝒕𝒆̂́ - 𝑵𝒐̛𝒊 𝒄𝒉𝒂̆́𝒑 𝒄𝒂́𝒏𝒉 𝒖̛𝒐̛́𝒄 𝒎𝒐̛: hi vọng với những thông tin cơ bản về ngành học, mục tiêu đào tạo và cơ hội việc làm vừa cung cấp đã phần nào giải đáp thắc mắc, giúp các sĩ tử có định hướng rõ ràng hơn về lựa chọn của mình trong thời gian sắp đến. Chúc các sĩ tử có một mùa chuyển bước lên đại học thành công và hẹn gặp lại các bạn với vai trò “IBerxinhiu” khóa 50 - Khoa Kinh doanh quốc tế!\n Cuối cùng, để không bỏ sót các thông tin quan trọng trong mùa Tuyển sinh 2024 của Khoa Kinh doanh quốc tế, kính mời quý phụ huynh và các bạn học sinh thường xuyên theo dõi Fanpage chính thức: Khoa Kinh Doanh Quốc Tế - Trường Đại Học Kinh Tế -  ĐHĐN\n________\nĐể cập nhật thông tin tuyển sinh mới nhất, vui lòng truy cập:\n Website Tuyển sinh ĐH Kinh tế - ĐHĐN: http://due.udn.vn/vi-vn/tuvantuyensinh\n Website của Khoa Kinh doanh quốc tế: https://due.udn.vn/vi-vn/khoa/kinh-doanh-quoc-te\n Mọi thắc mắc vui lòng liên hệ Fanpage Khoa Kinh doanh quốc tế - Đại học Kinh tế - ĐHĐN để được giải đáp.\n____________\n#khoakinhdoanhquocte #IB\n#tuyensinh #tuyensinh2024 #tuvantuyensinh #xettuyen #tuyenthang #chinhquy #quocte']","['Tất cả, 43', 'Yêu thích, 24', 'Thích, 19']",[],11380,"Thứ Năm, 7 Tháng 3, 2024 lúc 19:14"
"['Thông báo học bổng Lotte Shin Kyuk-ho Scholarship năm học 2023-2024\n1. Thông tin học bổng: \n- Số lượng: 06 suất\n- Giá trị mỗi suất: 450 USD\n2. Phân bổ số lượng: Mỗi Khoa đề cử 01 sinh viên để Hội đồng xét chọn và cấp học bổng của đơn vị ngoài Trường tài trợ cho sinh viên Trường Đại học Kinh tế - Đại học Đà Nẵng xét chọn.\n3. Tiêu chuẩn bắt buộc:\n- Sinh viên (SV) hệ chính quy Khóa 49K đang học tập tại Trường và không vi phạm kỷ luật;\n- Kết quả học tập kỳ 1, năm học 2023-2024 từ 3.2 trở lên tính theo thang điểm 4.0;\n- Điểm rèn luyện học kỳ 1, năm học 2023-2024 từ 80 trở lên;\n- SV có điều kiện hoàn cảnh gia đình khó khăn, có ý chí vươn lên trong học tập;\n- Có khả năng giao tiếp tiếng Anh, tiếng Trung, tiếng Hàn;\n- Chưa nhận học bổng của bất kỳ tổ chức, doanh nghiệp, đơn vị bên ngoài Trường tài trợ trong năm học 2023-2024.\n- Tiêu chí ưu tiên: Sinh viên tích cực tham gia và có thành tích trong các hoạt động hỗ trợ Nhà trường, công tác xã hội, tình nguyện vì cộng đồng và các phong trào thi đua.\n4. Quy trình thực hiện\n  Bước 1: SV điền thông tin vào link sau đây: https://forms.gle/RL8FdpocTmqfEm7g9\n   Bước 2: SV nộp hồ sơ trực tiếp về Khoa để được xét duyệt. Hạn cuối SV nộp hồ sơ về Khoa là ngày 13/03/2024 và hồ sơ phải đầy đủ như sau:\n- Tờ khai thông tin cá nhân sinh viên, có dán ảnh theo mẫu của đơn vị tài trợ  (https://bom.so/Lotte-To-khai-thong-tin);\n- Bảng điểm học tập và Bảng điểm rèn luyện học kỳ 1 năm học 2023-2024; (Bảng điểm học tập có thể in trên Website)\n- Bản sao các Chứng chỉ ngoại ngữ (nếu có);\n- Bản sao các Giấy khen, Giấy chứng nhận, Minh chứng tham gia hoạt động và các giấy tờ xác nhận hoàn cảnh khó khăn, hộ nghèo, cận nghèo, bệnh án... (nếu có).']","['Tất cả, 8', 'Thích, 7', 'Yêu thích, 1']",[],14047,"Thứ Năm, 7 Tháng 3, 2024 lúc 16:36"
"[' BÌNH CHỌN CHO CÔNG ĐOÀN KHOA KINH DOANH QUỐC TẾ TẠI CUỘC THI ẢNH HƯỞNG ỨNG “TUẦN LỄ ÁO DÀI” NĂM 2024 \n Hình thức: Thả like, tim cho bức ảnh của Công đoàn Khoa Kinh doanh quốc tế tại bài đăng gốc trên Facebook Công Đoàn Due\n Thời gian kết thúc bình chọn: 11h00 08/03/2024\nHãy thể hiện tình yêu của mình dành cho các cô giáo xinh đẹp của Khoa Kinh doanh quốc tế bằng cách thả tim nhiệt tình các bạn nhé \n Biết đâu thắng giải chúng mình lại được nhận những ""món quà bí mật"" từ các cô đấy \n Gọi cô giáo khoa KDQT là mặt trời. Vì yêu các cô là chúng em sáng suốt ', '03. Công đoàn Khoa Kinh doanh quốc tế\n""Hãy sống với vẻ đẹp của riêng mình và nở rộ như một đoá hoa.""']","['Tất cả, 108', 'Yêu thích, 69', 'Thích, 37', 'Haha, 1', 'Phẫn nộ, 1']",[],15150,"Thứ Tư, 6 Tháng 3, 2024 lúc 10:22"
