content,emoji,comment,current,time,comments_size
['Chúng ta của hiện tại và tương lai '],"['Tất cả, 128', 'Buồn, 65', 'Thích, 45', 'Haha, 17', 'Yêu thích, 1']","['Lần đầu tiên được có nhìu dl', 'Linh Nguyễn áp lực cột sống', ""Hồ Như quá ổn't"", 'Ý là còn ổn hk biết gì này', 'Đậu Nguyễn Trà My 8/3 dui với đống DL', 'Trúc Ngọc hết 8 nhưng ch hết dl', 'Lót tích =))']",1106,"Thứ Sáu, 8 Tháng 3, 2024 lúc 20:30",7
['Gió tạt nghiêng cái xe luôn'],"['Tất cả, 210', 'Haha, 142', 'Thích, 56', 'Buồn, 11', 'Thương thương, 1']","['Vi Trịnh suýt té má ơii', 'Sợ thật', 'Nguyễn Tường Vi', 'Nguyễn Thị Thúy Anh Nguyen', 'Thanh Tâm thiệt luôn á. Sợ bay theo luôn', 'Nguyễn Thị Thúy nghiêng theo làn gió', 'Thanh Tâm sợ ngã chứ cũng đâu muốn nghiêng', 'Thanh Tâm may mà có mai anh ngồi đằng sau k thanh tâm bay r', 'Sao mà bằng cầu Tiên sơn hả', 'Lê Thị Minh Huyền t7 bạn ở vượt gió qua khum :)))', 'Minh Anh bay cái hồn lun á', 'Tú Chi bay cái kính', 'Uyên Nhi', 'Nguyễn Diệu Linh =))) có giống anh Tùng ko', 'Tran Thi Thu Hien rất giống', 'Phương Thảo tấp xe vô lề liềng', 'Hứaa Phi nghiêng xe ch\n)??', 'Ngân Lê có nge. ngả nghiêng lun', 'Mỹ Tâmm thiệt', 'Thanh Ngân đâu chỉ riêng ta', 'Hoàng Thuý may k gắn mi giả he', 'My Tran :))) y rứa']",1739,"Thứ Sáu, 8 Tháng 3, 2024 lúc 08:25",22
['Phòng học tầng 4 nhưng 6h59 m còn ở dưới sân trường kiểu:'],"['Tất cả, 117', 'Haha, 69', 'Thích, 34', 'Buồn, 14']","['k sao vào trg là đc r:)', 'Thầy kh điểm danh nhma bạn md kêu thầy điểm danh:))) Xuân Thi', 'Phương Nhi thể dục thể thao sức khỏe dồi dào :)))', 'Phương Nhi Tú Linh 10h đúng cô điểm danh kiểu :))', 'Kim Duyên khi niềm tin đặt sai chỗ', 'Phương Nhi t3 nín ăn sáng', 'Thu Uyên thầy điểm danh roi tè :)))))))']",2553,"Thứ Sáu, 8 Tháng 3, 2024 lúc 07:33",7
['Sáng đi đánh giặc\nTối đi chợ nấu cơm'],"['Tất cả, 245', 'Haha, 168', 'Thích, 73', 'Thương thương, 2', 'Buồn, 2']","['Tưởng sáng đánh son trưa đánh giặc, tối đánh bài chứ :))))', 'Tuyển thợ nấu cơm ib em ạ']",3115,"Thứ Tư, 6 Tháng 3, 2024 lúc 19:12",2
[],[],[],4112,
[],[],[],4623,
['Vui lòng đăng nhập lại...'],"['Tất cả, 96', 'Haha, 45', 'Thích, 37', 'Buồn, 14']","['Xin lỗi hacker xin lỗi những người ghét tui, xin lỗi những người tui ghét, vì 1 phút bốc đồng mà tụi đã nghi ngờ mọi người hack fb để leak tin nhắn của tôy', '']",5716,"Thứ Ba, 5 Tháng 3, 2024 lúc 23:24",2
['Facebook/Instagram và các trình duyệt thuộc Meta gặp vấn đề không thể sử dụng dịch vụ từ 10h30 tối ngày 5/3\nMọi người có ổn không vậy ?'],"['Tất cả, 123', 'Thích, 62', 'Haha, 34', 'Buồn, 24', 'Yêu thích, 3']","['Má làm t tửn bị hack acc cái kéo qua zl cảnh báo mấy đứa bạn coi chừng bị lừa tiền', 'Cmt đc là thấy ổn rồi', 'Tưởng đâu bị hack fb', 'sản', 'Miinh Hằnngg bùn của MH k chơi gem dc', 'Hạ Quyên Nguyễn mình khom chơi gêm nhé, chỉ sợ bạn k có phương tiện liên lạc zới người iu thôi', 'Được rồi ngủ mai đi học thôi mọi người\nYên tâm rồi không mất fb nha', 'Trôn trôn trôn VN', 'Quang Lộc', 'súyt thì hết được đi cmt dạo bên quý page rồiii']",6358,"Thứ Ba, 5 Tháng 3, 2024 lúc 23:21",10
['Em tôi sau một ngày leo từ tầng 4 khu D sang tầng 4 khu A 6 lần '],"['Tất cả, 239', 'Haha, 149', 'Thích, 82', 'Buồn, 6', 'Yêu thích, 1', 'Wow, 1']","['Nguyễn Khánh Linh ngày thứ 3 muốn gãy chân', 'Thanh Tâm Nguyễn Thị Thúy cái ni kh tag thúy kh được roài =)))', 'Nguyễn Khánh Linh ở nhà buồn lắm á', 'Đâu ai bic ngta nhảy lò cò lên tầng đâu… Duyên Nguyễn', 'Ngọc Mai ko chỉ tầng của khu D mà còn tầng của ktx', 'Sau một ngày dài cùng với những bước chân nặng nề, trên lưng là chiếc balo 5kg, em lấy lại leo lên 5 tầng của KTX']",7066,"Thứ Hai, 4 Tháng 3, 2024 lúc 20:01",6
"['Hãy trân trọng bạn thời đại học, họ sẽ mời riêng các bạn một bàn']","['Tất cả, 926', 'Haha, 612', 'Thích, 294', 'Yêu thích, 12', 'Wow, 3', 'Buồn, 3', 'Thương thương, 2']","['Mình và bạn Lê Ngọc Cường thắc mắc là khai vị món gì mà món thứ 2 đã ăn gà vậy ạ', 'Nguyen Bao Phuong ăn xong gà chắc đứng dậy về luôn quá', 'DUE Troll tôm hùm mà tính bằng con luôn hả =)))', 'Nguyen Bao Phuong c cùng thắc mắc :)))))', 'Nguyen Bao Phuong Hội đồng gửi', 'Dinh Le Diem Quynh', 'Do Tnhàn 1 mình 1 bàn', 'Dinh Le Diem Quynh tha hồ ăn', 'Ad đi đám cưới mà sao tui k gặp ad hè', 'Nguyên Nguyênn thế sao a k thấy', 'Thanh Tâm em ngồi chéo anh chớ đao', 'Nguyên Nguyênn\n, k có thấy luôn á chời', 'Văn Chương', ':)))', 'Diễm Quỳnh Nguyễn An Nhiên có đi ko để mời :))', 'Trương Quỳnh đi chớ hjhj', 'Trương Quỳnh\nđể sắm váy liền nèkkk', 'Khánh Ly Trương', 'Na Nguyễn ngại hè', 'Nguyễn Hà', 'Huyền Trang bạn tính mời tui hay sao', 'Nguyễn Mỹ Dung ờm....', 'Nguyễn Thị Hà An haha\nDữ dằn', 'Phan Thị Thu Liên m sau cũng ri nì', 'Nguyễn Thị Khánh Linh rồi có ai để cưới mà mời mẹ', 'Nguyễn Quỳnh My Tú Trinh Xuân Tùng', 'Nguyễn Linh đợi thiệp của My nha mấy bạn', 'Nguyễn Quỳnh My mùa quýt :))', 'Xuân Tùng ủa', 'Nguyễn Linh Bỏ heo đi, 25 tuổi mời đi ăn cưới nhen', 'Đinh Thị Lê kìa', 'Diệu Thương Hoàng mai mốt làm cái thẻ ni nghe', 'Tuấn Khang haha nma kh được 1 bàn nơi', 'Diệu Thương Hoàng 1 ngồi 1 bàn', 'Tuấn Khang đ xứng là sv đh mà để cái thẻ có kì quá khom dị', 'Diệu Thương Hoàng 2 đứaaaa rồi nề, còn 8 đứa nữa thôi', 'Đỗ Linh Diệu để ráng ráng xíu hahaaa', 'Diệu Thương Hoàng m mời nhq cho t', 'Tuấn Khang thân quá kh dám mời. Sợ mắc công soạn mail', 'Trần Đình Quang sắp chưa fen', 'Võ Thanh Dương y án luôn fen hỉ', 'Trần Đình Quang cái phòng villa nớ cưới gần hết rồi đó =)))', 'Trần Đình Quang nhớ tui với nghe fen', 'Võ Thanh Dương kaka :)), căn phòng năm ấy :))).', 'Nguyễn Đức chu, khỏi lo fen hỉ.', 'Thiên Kimm Phương Nhớ sau em mời 2 chị 1 bàn z ha', 'Hoàng Thư ôi quý hoá quá chị tôi', 'Thiên Kimm toi chỉ có 2 chị thoai', 'Ti Ti Phongsavanh cho tôi 1 bàn', 'Cảm ơn nha Phan Ngọc Hằng', 'Trần Thị Hiền ủa em đâu', 'Phạm Thị Mỹ Quyên chắc j bà được họ cưới hè Phan Ngọc Hằng', 'Trần Thị Hiền một chút chết trong tim', 'Phạm Thị Mỹ Quyên Trần Thị Hiền 2 đứa có bồ mà tagg 1 em bé vô biểu mời đám cưới là sao :)))', 'Nguyễn Huyền nhớ nhé', 'Nguyễn Huyền oce', 'Liền', 'Minh Minh Nguyen để in', 'Liền hahha trất liền', 'Nguyễn Ngọc Tú Nhớ nha cô gái', 'Thanh Nghi hóng ạ', 'Thanh Nghi hâhha okela lun', 'Khánh Phạm', 'Ngọc Thắng hihi', 'Trần Văn Hoài E được 1 mâm đó a kk', 'Phan Tuyen mừng 2 xị bao ăn nghe', 'Dũng Nguyễn đại gia tam kỳ mà đi 2 xị hẻ=))) tệ quó', 'Tui mời Câu lạc bộ K2S, Đại học Kinh tế - Đại học Đà Nẵng những 2 bàn', 'Phương Bích Trần Thu Võ Ngọc Mai', 'Trương Thị Lợi í là bạn gần cứi đó à', 'Võ Ngọc Mai chắc là nó nhắc khéo mình', 'Trần Thu thế lo chuẩn bị dần là vừa roài', 'Võ Ngọc Mai lo b ở xa thui chớ t ở gần thì đơn giản', 'Trần Thu zị mik phải về đó cho gần lại thoai', 'Anh Lan Dương mình t 1 bàn =)))', 'Chuẩn bị chớ Đỗ Linh Anh Quốc Nguyễn Tài', 'David Hau dô :)))', 'David Hau Dô kkkk', 'Gia HânnAnh Minh Lê về NQ nói trường làm cái cho zui', 'Trúc Quỳnh quải chửn', 'Anh Minh Lê chắc về lấy bằng cầm cờ DUE vẫy', 'Hồng Như', 'Trang Nguyễn Phươngg Thảo 2 bạn là 2 mâm rồi', 'Nhi Phương t ngồi 1 mình một mâm hả, biết nch vứi ai chời:))', 'Trang Nguyễn thì ngồi nói chuyện từ xa với mâm bên của chị thổ', 'Nhi Phương thôi cho t ngồi gần hén đi để t còn nói xấu m', 'Trang Nguyễn ác vừaaa', 'Phươngg Thảo sự thật mất lòng', 'Trang Nguyễn mất nhau', 'Trang Nguyễn 4 năm là đủ rồi, dừng lại thôi!', 'Trương Thị Mỹ Trinhzinh hạnh qá bạn ơi', 'Hoàng Minh Hải sao bàn này lại k có t', 'Tran Thi Thuy Trang kê', 'Trần Huyền Trân trân cưới chồng sớm quá', 'Tran Thi Thuy Trang m nói rứa mấy a tưởng ta cưới thiệt nghe m', 'Trần Huyền Trân gửi thiệp cho mấy anh đi nà', 'Tran Thi Thuy Trang có ai đâu mà mời =))))', 'Đồng Minh Phú', 'Khánh Minh nhớ nhe', 'Lý Thanh Hằng đủ 1 bàn kh', 'Trần Văn Vũ để coi thái độ', 'Lý Thanh Hằng đầu năm 1 đủ chứ h chắc hết rồi đó', 'Thúy Mai mời tao bàn này nha', 'Bùi Thảo để t in lun =))', 'Hoàng Hạnh', 'Nguyễn Bá Đức Hoàng Hoàng Minh Hiền trải chiếu ngồi dưới đất', 'Hoàng Minh Hiền ngồi lên đầu t nè', 'Hoàng Minh Hiền mất zại quen :))))', 'Nguyễn Phạm Đăng k dám nhận', 'Hoàng Minh Hiền nghỉ', 'Thùy Linh e hèm:))', 'Hoàng Bảo Chi ráng mà trân trọng bạn', 'Ngọc Hương', 'Nguyễn Hồ Xuân Hương hi', 'Thuỳ Linh có mời ko', 'Nụ Trương đi cây vàng thì mời', 'Hồ Ánh Nguyệt Nguyễn Thị Ngân Anh Minh Hoang Văn Quyến trân trọng', 'Lê Trương Thảo Ly mày chuẩn bị tiền đi', 'Nguyễn Thị Ngân kết thúc môn kho và khai phá là cưới liền :)))', 'Lê Trương Thảo Ly vậy thì vội quá :))', 'Nguyễn Thị Ngân không cưới là tốn thêm 1800 tiền học l...', 'Lê Trương Thảo Ly ấn nút liền', 'sắp cưới r hà', 'Hoang Anh Minh sắppp', 'Hà Diễm Quỳnh ủa hông lẽ 1 mình tao 1 bàn hả :)))', 'Lâm Trần học không học cứ đòi lấy chồng', 'Xem thêm bình luận', '50/85', 'Nguyen Bao Phuong ui em quên gói mấy con tôm hùm về cho ac rùi :(((', 'Quá đã', 'Nguyên Nguyênn ủa pà. ngồi cùng bàn luôn mà', 'Cảm ơn hội AD không ngại xa đã đến tham dự nhé', 'Chất lượng ạ', 'Sắp tới ngày gì các bạn đừng quên nha', 'Nguyễn Thị Ngọc Diễm đến lượt t là t làm thế đó', 'Nguyễn Thị Ngọc Diễm Gđ nhà Bo 1 bàn luôn', 'Sâuu Khôngg Gờ xa quá quá về lại mặt đất đi con', 'Sâuu Khôngg Gờ m cũng phải chừa cho t một bàn nghe chưa', 'Nguyễn Phạm Đăng nhà 5 tầng mà bắt bạn ngồi trà à', 'Nguyễn Phạm Đăng đầu gì :))', 'Nguyễn Phạm Đăng hông có pít, hong có pít', 'Nguyễn Bá Đức Hoàng nghẹn']",7726,"Chủ Nhật, 3 Tháng 3, 2024 lúc 19:44",142
