content,emoji,comment,current,time
"['[HỖ TRỢ TRUYỀN THÔNG]\n KHẢO SÁT THƯƠNG HIỆU TUYỂN DỤNG CMC GLOBAL \nTham gia khảo sát để có cơ hội nhận những phần quà công nghệ từ CMC Global \n https://forms.office.com/r/PfkSD2yLj0\n Chúng tôi đang thực hiện một Khảo sát ngắn nhằm nâng cao chất lượng của quá trình tuyển dụng và cung cấp thông tin đến cộng đồng ứng viên. Chỉ với vài phút chia sẻ những ""𝗶𝗻𝘀𝗶𝗴𝗵𝘁𝘀"" của mình, bạn không chỉ giúp CMC Global cải thiện quy trình trải nghiệm ứng viên mà còn góp phần xây dựng một mối quan hệ việc làm ""win-win"" giữa ứng viên và nhà tuyển dụng.\n Đặc biệt, khi hoàn thành khảo sát bạn sẽ có cơ hội sở hữu quà tặng giá trị từ vòng quay may mắn của CMC Global.\nSau khi hết thời hạn khảo sát, BTC sẽ tiến hành quay ngẫu nhiên các email đã thực hiện khảo sát và tìm ra chủ nhân cho các phần thưởng, bao gồm: \n01 Máy chiếu Mini\n03 Đồng hồ thông minh. \nKết quả sẽ được công bố tại Fanpage CMC Global Careers vào ngày 25/03/2024.\n Thời hạn Khảo sát diễn ra từ ngày 𝟬𝟱/𝟬𝟯/𝟮𝟬𝟮𝟰 tới hết ngày 𝟮𝟬/𝟬𝟯/𝟮𝟬𝟮𝟰. \nChỉ mất 5 phút cho một khảo sát nhỏ, nhận lại cơ hội rinh quà to. \n Tham gia khảo sát ngay tại: https://forms.office.com/r/PfkSD2yLj0\nLưu ý: Thông tin do người làm khảo sát cung cấp hoàn toàn được bảo mật và chỉ phục vụ mục đích cải thiện chất lượng tuyển dụng của CMC Global Careers.\nCMC Global chân thành cảm ơn sự đóng góp của bạn đối với thương hiệu tuyển dụng của chúng tôi. ']","['Tất cả, 6', 'Thích, 5', 'Yêu thích, 1']",[],1182,"Thứ bảy, 9 Tháng 3, 2024 lúc 10:46"
"[' CHÚC MỪNG NGÀY QUỐC TẾ PHỤ NỮ 8/3 \n“Chị em tôi tỏa nắng vàng lịch sử\nNắng cho đời nên nắng cũng cho thơ….”\n Nhân dịp ngày Quốc tế Phụ nữ 8/3, LCĐ Khoa Thống kê - Tin học xin gửi đến tất cả chị em phụ nữ ngàn lời chúc tốt đẹp nhất. Chúc cho các cô gái, những bóng hồng tài năng của nhà Cam sẽ luôn luôn xinh đẹp, rạng rỡ, tỏa sáng trong cuộc sống cũng như trong công việc.\n Đặc biệt, xin được gửi những lời yêu thương đến các cô giáo, là người lái đò thầm lặng, là  “người mẹ thứ hai"" đã dìu dắt biết bao thế hệ học trò nên người. Chúng em chúc các cô luôn mạnh khỏe, hạnh phúc, luôn giữ lửa đam mê với nghề và tiếp tục gặt hái nhiều thành công trong sự nghiệp trồng người.\n Cuối cùng, hãy để trái tim ta hòa nhịp cùng giai điệu rộn ràng của ngày 8/3. Hãy cùng nhau lan tỏa tình yêu thương và lời chúc đến những người phụ nữ tuyệt vời, những bông hoa hồng rực rỡ nhất ngày hôm nay!\n---------------------------------\nMọi thông tin thắc mắc xin liên hệ:\nFanpage: Khoa Thống kê - Tin học, Trường Đại học Kinh tế - Đại học Đà Nẵng\nGmail: lcd.thongketinhoc.due@gmail.com\n---------------------------------\n#KhoaTKTH\n#NPQTPN83\n#Mediateam_QT_TL']","['Tất cả, 27', 'Yêu thích, 15', 'Thích, 11', 'Thương thương, 1']",[],2196,"Thứ Sáu, 8 Tháng 3, 2024 lúc 20:00"
"[' SỰ KIỆN “TỰ ĐỘNG HOÁ BÁO CÁO CÙNG MICROSOFT EXCEL”.\n- Bạn là một người đam mê số liệu và muốn biến dữ liệu thành thông tin hữu ích?\n- Bạn đang tìm hiểu về cách tạo ra báo cáo tự động thông minh với Microsoft Excel?\n- Bạn muốn hiểu rõ hơn về lộ trình trở thành một Data Analyst\n Vậy đừng bỏ lỡ sự kiện “Tự động hóa bằng Microsoft Exel” do VTI Academy tổ chức:\n Thời gian: 19h30 - 21h30, thứ Năm ngày 14/3/2024\n Hình thức: Online qua Zoom\n Link đăng ký: https://forms.gle/isXHY6G1RaXTQ4BNA\n Sự kiện vô cùng phù hợp với:\n- Sinh viên muốn bổ trợ kỹ năng về quản lý, phân tích dữ liệu\n- Sinh viên CNTT muốn định hướng theo DA hoặc BA …\n- Người đi làm muốn đưa ra quyết định chiến lược từ những dữ liệu, hỗ trợ về việc quản lý, phân tích dữ liệu tại doanh nghiệp.\n- Người muốn chuyển ngành sang DA\nĐến với sự kiện này, bạn sẽ được nghe những chia sẻ đầy giá trị từ các diễn giả hàng đầu đó là: anh Đỗ Đăng Khoa - COO VTI Academy HCM - Chuyên gia phân tích dữ liệu và anh Trương Minh Tuấn - Chuyên Gia CNTT.\n Sở hữu chứng chỉ danh giá Data Analysis and Visualization Foundations Certificate, IBM, 2020 cùng nhiều năm kinh nghiệm thực tế trong ngành, hai anh sẽ chia sẻ các kiến thức:\n- Lộ trình trở thành Data Analyst\n- Tạo báo cáo tự động cùng Excel\n- Không chỉ là kỹ năng mà còn là một con đường sự nghiệp\nĐừng bỏ lỡ cơ hội học hỏi và trao đổi kiến thức với những diễn giả hàng đầu nhé các bạn!\nĐăng ký ngay tại: https://forms.gle/isXHY6G1RaXTQ4BNA']","['Tất cả, 17', 'Thích, 11', 'Yêu thích, 6']",[],3480,"Thứ Sáu, 8 Tháng 3, 2024 lúc 17:29"
"[' KETIN-ERS HƯỞNG ỨNG TRÀO LƯU “NƠI TÔI ĐẾN TRÊN BẢN ĐỒ VIỆT NAM” \n Sau một khoảng thời gian hưởng ứng Cuộc vận động “Tự hào một dải non sông”, LCĐ Khoa Thống kê - Tin học rất vui vì nhận được sự tham gia nhiệt tình từ các bạn trong hoạt động “Nơi tôi đến trên bản đồ Việt Nam”. \n Bây giờ, chúng ta hãy cùng nhau ngắm nhìn những bức ảnh check in xịn sò với các địa danh trên bản đồ Việt Nam từ các bạn sinh viên nhà KeTin. Và đừng quên rằng trào lưu “Nơi tôi đến trên bản đồ Việt Nam” vẫn đang trong thời gian diễn ra, chúng mình hy vọng rằng các bạn vẫn sẽ tiếp tục chia sẻ các địa điểm mà các bạn đã tới nhé.\n___________________\nMọi thắc mắc xin liên hệ\n Fanpage: Khoa Thống kê - Tin học, Trường Đại học Kinh tế - Đại học Đà Nẵng\n Gmail: lcd.khoathongketinhoc@gmail.com\n#NoitoidentrenBandoVietNam #Tuhaomotdainonsong #TuoitreDaNang #TuoitreDaihocDaNang #TuoitreDUE #KhoaTKTH\n#MediaTeam_TH', 'Viết bình luận...']","['Tất cả, 41', 'Yêu thích, 25', 'Thích, 15', 'Thương thương, 1']",[],4743,"Thứ Năm, 7 Tháng 3, 2024 lúc 10:00"
"[' [ CÙNG SINH VIÊN NHÀ KETIN ĐI THAM QUAN DOANH NGHIỆP FPT COMPLEX ] \n  Nhằm tạo điều kiện cho sinh viên có thể vừa học cũng như vừa được tiếp xúc và hiểu rõ hơn về ngành nghề của mình, thì vừa qua  Khoa TKTH đã tổ chức thành công buổi tham quan tại doanh nghiệp FPT Software cho các bạn khóa 48K ngành MIS.\n  Qua chuyến đi, các bạn đã được tận mắt chứng kiến văn phòng làm việc với hệ thống trang thiết bị hiện đại, được tham quan khuôn viên, hội trường tại FSoft. Tiếp đó, các bạn được nghe đại diện lãnh đạo của công ty giới thiệu về cơ cấu tổ chức và các cơ hội việc làm tại quý công ty trong thời gian sắp tới. Kết thúc chuyến tham quan là phần hỏi đáp vô cùng sôi nổi giữa đại diện công ty và các bạn sinh viên.\n  Khép lại chương trình, tin chắc rằng mỗi bạn sinh viên đã đúc kết và rút ra được cho mình thêm nhiều thông tin, kỹ năng và tự tin hơn cho việc phát triển nghề nghiệp theo định hướng của bản thân. Cũng mong rằng, chuyến đi lần này sẽ tiếp thêm cho các bạn trẻ nhiều niềm đam mê và động lực để cầu tiến hơn trong tương lai.\n  Cuối cùng thì hãy cùng chúng mình ngắm nhìn lại chiếc video xinh xắn của chuyến tham quan ngày hôm đó nhé!\n------------------------\nMọi thông tin thắc mắc xin liên hệ:\n  Fanpage: Khoa Thống kê - Tin học, Trường Đại học Kinh tế - Đại học Đà Nẵng\n  Gmail: lcd.khoathongketinhoc@gmail.com\n#KhoaTKTH\n#ThucTapNhanThuc\n#TuyenSinh\n#MediaTeam_TN_HL', 'Phạm Thị Thảo Huyền\nzui quá đi aaaaa']","['Tất cả, 48', 'Yêu thích, 27', 'Thích, 21']",[],5914,"Thứ Tư, 6 Tháng 3, 2024 lúc 20:41"
"[' NHỮNG CHIA SẺ ĐẦY THÚ VỊ CỦA CỰU SINH VIÊN NGÀNH MIS ĐANG LÀM VIỆC TẠI DOANH NGHIỆP FPT COMPLEX \nNgày 01/03/2024 vừa qua, Khoa Thống kê - Tin học đã tổ chức một chuyến tham quan tới FPT Complex cho sinh viên của khóa 48K. Mục đích của chuyến đi nhằm để cung cấp cho các sinh viên cái nhìn cụ thể và thực tế về hoạt động của công ty, từ đó giúp họ hiểu rõ hơn về lĩnh vực mà họ đang theo học và chuẩn bị cho tương lai sự nghiệp của mình.\n Bạn đang tò mò về môi trường làm việc tại FPT Complex? Bạn đang băn khoăn về lĩnh vực mà mình theo đuổi sau này. Tại đây, hãy cùng chúng mình lắng nghe những chia sẻ đầy thú vị từ các anh chị cựu sinh viên nhà KeTin của chúng ta, người đã trải nghiệm và sẽ chia sẻ cho chúng ta về môi trường làm việc độc đáo này!\n ""Tại FPT Complex, tôi đã trải qua những trải nghiệm chưa từng có. Không chỉ làm việc trong một môi trường chuyên nghiệp, tôi còn được trải nghiệm một không gian làm việc sáng tạo và thú vị.""\n ""Mọi thứ tại FPT Complex đều được tổ chức và quản lý một cách chuyên nghiệp nhất, từ quy trình tuyển dụng đến chăm sóc nhân viên. Đội ngũ đồng nghiệp thân thiện và hỗ trợ đã giúp tôi cảm thấy tự tin và phát triển bản thân mỗi ngày.""\n……………\n Qua những lời chia sẻ của anh chị cựu sinh viên các bạn sinh viên đã phần nào hiểu rõ hơn về ngành nghề của mình, có những định hướng đúng đắn cho công việc tương lai. Chúng mình cũng xin được gửi lời cảm ơn chân thành đến anh chị cựu sinh viên vì đã dành thời gian để chia sẻ những trải nghiệm quý báu cho các bạn sinh viên.\n Bây giờ, hãy cùng chúng mình xem lại thước phim ngắn về buổi phỏng vấn các anh chị cựu sinh viên nhà KeTin đang làm việc tại doanh nghiệp FPT Complex nhé!\n--------------------------------------\nMọi thông tin thắc mắc xin liên hệ:\nFanpage: Khoa Thống kê - Tin học, Trường Đại học Kinh tế - Đại học Đà Nẵng.\nGmail: lcd.khoathongketinhoc@gmail.com.\n#KhoaTKTH\n#ThucTapNhanThuc\n#TuyenSinh\n#MediaTeam_VA_XT', 'Thanh Sơn\nÁ em ở gần nhà anh Trần Thiên Tú ni nè , anh cho em theo với\n4']","['Tất cả, 86', 'Thích, 48', 'Yêu thích, 35', 'Haha, 2', 'Thương thương, 1']",[],7157,"Thứ Ba, 5 Tháng 3, 2024 lúc 20:17"
"[' SINH VIÊN NHÀ KETIN NGHĨ GÌ KHI THAM QUAN DOANH NGHIỆP FPT COMPLEX \n Vừa qua, vào ngày 01/03/2024 Khoa Thống kê - Tin học đã tổ chức một buổi tham quan doanh nghiệp FPT Complex cho sinh viên khóa 48K, chuyến đi này nhằm để cho các bạn có thể biết thêm về những trải nghiệm thực tế ở công ty, hiểu rõ hơn về ngành học mà mình đang theo đuổi sau này.\n Nhờ việc trải nghiệm này, các sinh viên đã có sự hiểu biết hơn về các hoạt động của doanh nghiệp FPT Complex, từ khuôn viên của doanh nghiệp cho đến cách thức làm việc sẽ giúp cho các bạn có được góc nhìn thực tế hơn, cùng với đó là những lời khuyên bổ ích từ những anh chi cựu sinh viên đang làm việc tại doanh nghiệp sẽ đưa ra được những đánh giá chỉnh chu nhất.\n Qua các cuộc nói chuyện mà chúng mình đã phỏng vấn các bạn sinh viên, chúng mình có thể cảm nhận được rằng buổi tham quan này đã trở nên vô cùng ý nghĩa và là một hành trình đáng nhớ đối với các bạn. \n Cuối cùng, hãy cùng chúng mình xem lại một thước phim ngắn về buổi phỏng vấn các bạn sinh viên nhà KeTin khi đi tham quan doanh nghiệp FPT Complex nhé!\n--------------------------------------\nMọi thông tin thắc mắc xin liên hệ:\n Fanpage: Khoa Thống kê - Tin học, Trường Đại học Kinh tế - Đại học Đà Nẵng.\n Gmail: lcd.khoathongketinhoc@gmail.com.\n#KhoaTKTH\n#ThucTapNhanThuc\n#TuyenSinh\n#MediaTeam_TL_QT', 'Trần Thanh Nhã\nKhoa ni xịn cúa']","['Tất cả, 93', 'Thích, 47', 'Yêu thích, 44', 'Thương thương, 2']",[],8635,"Thứ Hai, 4 Tháng 3, 2024 lúc 20:00"
"[' CÙNG SINH VIÊN NGÀNH MIS THAM QUAN DOANH NGHIỆP FPT COMPLEX \n  Nhằm tạo điều kiện cho sinh viên có thể vừa học cũng như vừa được tiếp xúc và hiểu rõ hơn về ngành nghề của mình, thì ngày 1/3/2024 vừa qua, Khoa TKTH đã tổ chức chương trình tham quan tại doanh nghiệp FPT Software cho các bạn khóa 48K ngành MIS.\n Qua chuyến đi, các bạn đã được tận mắt chứng kiến văn phòng làm việc với hệ thống trang thiết bị hiện đại, được tham quan khuôn viên, hội trường tại FSoft. Tiếp đó, các bạn được nghe đại diện lãnh đạo của công ty giới thiệu về cơ cấu tổ chức và các cơ hội việc làm tại quý công ty trong thời gian sắp tới. Kết thúc chuyến tham quan là phần hỏi đáp vô cùng sôi nổi giữa đại diện công ty và các bạn sinh viên.\n Chuyến đi thực tế này giúp các sinh viên hiểu thêm được hoạt động của FSOFT, những vị trí đang cần nhân lực của xã hội nói chung. Từ đó giúp các em có định hướng rõ ràng về nghề nghiệp cho bản thân, để cố gắng phấn đấu, chuẩn bị kiến thức cần thiết theo yêu cầu của doanh nghiệp để ra trường có thể ứng tuyển vào vị trí phù hợp.\n Bây giờ, cùng chúng mình ngắm nhìn lại những bức ảnh của buổi tham quan vừa qua nhé!!!\n--------------------------------------\nMọi thông tin thắc mắc xin liên hệ:\n Fanpage: Khoa Thống kê - Tin học, Trường Đại học Kinh tế - Đại học Đà Nẵng\n Gmail: lcd.khoathongketinhoc@gmail.com\n#KhoaTKTH\n#ThucTapNhanThuc\n#TuyenSinh\n#MediaTeam_TH_QT']","['Tất cả, 90', 'Thích, 49', 'Yêu thích, 41']",[],9897,"Chủ Nhật, 3 Tháng 3, 2024 lúc 12:00"
"[' TUYỂN SINH 2024 - KHOA THỐNG KÊ - TIN HỌC \n Team 2K6 sắp bước đến một kỳ thi quan trọng, quyết định những ngã rẽ đầu tiên của cuộc đời. Song song với việc ôn tập thật tốt thì các bạn còn phải chọn cho mình một lối đi, một ngành học mà mình yêu thích nữa.\n Liệu các sĩ tử đã chọn được ngành học nào phù hợp với bản thân mình chưa nhỉ? Dưới đây là 2 ngành mà Khoa Thống kê - Tin học muốn giới thiệu đến các bạn, các bạn hãy tham khảo để lựa chọn ngành học phù hợp với bản thân mình nhé.\n Mã trường: DDQ\n Mã ngành Hệ thống thông tin quản lý: 7340405\nChỉ tiêu tuyển sinh: 210\n Mã ngành Thống kê kinh tế: 7310107\nChỉ tiêu tuyển sinh: 50\n Mã tổ hợp môn xét tuyển: A00, A01, D01, D90.\n Các phương thức xét tuyển:\n- Xét tuyển thẳng thí sinh đoạt giải học sinh giỏi quốc gia, quốc tế.\n- Xét tuyển thẳng theo Thành tích học tập và năng lực ngoại ngữ.\n- Xét tuyển theo Kết quả học tập THPT.\n- Xét tuyển theo kết quả ĐGNL của ĐHQG TPHCM.\n- Xét tuyển theo kết quả thi tốt nghiệp THPT.\n Chi tiết tuyển sinh 2024 xem tại: http://due.udn.vn/tuvantuyensinh\n--------------------------------------\nMọi thông tin thắc mắc xin liên hệ:\n Fanpage: Khoa Thống kê - Tin học, Trường Đại học Kinh tế - Đại học Đà Nẵng\n Gmail: lcd.khoathongketinhoc@gmail.com\n#KhoaTKTH\n#TuyenSinh\n#MediaTeam_TH', 'Trần Thu Thảo\nDàn cast xuất sắc dị\n2']","['Tất cả, 65', 'Yêu thích, 34', 'Thích, 30', 'Haha, 1']",[],11249,"Thứ bảy, 2 Tháng 3, 2024 lúc 20:00"
"[' KETIN-ERS HƯỞNG ỨNG TRÀO LƯU “NƠI TÔI ĐẾN TRÊN BẢN ĐỒ VIỆT NAM” \n Sau một khoảng thời gian hưởng ứng Cuộc vận động “Tự hào một dải non sông”, LCĐ Khoa Thống kê - Tin học rất vui vì nhận được sự tham gia nhiệt tình từ các bạn trong hoạt động “Nơi tôi đến trên bản đồ Việt Nam”. \n Bây giờ, chúng ta hãy cùng nhau ngắm nhìn những bức ảnh ""check in"" xịn sò với các địa danh trên bản đồ Việt Nam từ các bạn sinh viên nhà KeTin. Và đừng quên rằng trào lưu “Nơi tôi đến trên bản đồ Việt Nam” vẫn đang trong thời gian diễn ra, chúng mình hy vọng rằng các bạn vẫn sẽ tiếp tục chia sẻ các địa điểm mà các bạn đã tới nhé.\n___________________\nMọi thắc mắc xin liên hệ\n Fanpage: Khoa Thống kê - Tin học, Trường Đại học Kinh tế - Đại học Đà Nẵng\n Gmail: lcd.khoathongketinhoc@gmail.com\n#NoitoidentrenBandoVietNam #Tuhaomotdainonsong #TuoitreDaNang #TuoitreDaihocDaNang #TuoitreDUE #KhoaTKTH\n#MediaTeam_TH']","['Tất cả, 35', 'Yêu thích, 20', 'Thích, 15']",[],12576,"Thứ Năm, 29 Tháng 2, 2024 lúc 20:00"
