content,emoji,comment,current,time
"['THÔNG BÁO: RÚT HỌC PHẦN HỌC KỲ II NĂM HỌC 2023-2024\nCăn cứ các quy định về đào tạo chương trình bậc đại học hệ chính quy, Nhà Trường thông báo việc thực hiện việc rút học phần đã được đăng ý trong kỳ II năm học 2023-2024 như trong file đính kèm.\nĐề nghị sinh viên nghiên cứu kỹ Quy định đào tạo hiện hành, Quy định về việc rút học phần và thực hiện việc rút học phần theo đúng kế hoạch.']","['Tất cả, 10', 'Thích, 9', 'Yêu thích, 1']",[],704,"Thứ Hai, 11 Tháng 3, 2024 lúc 09:09"
"['THƯ MỜI VIẾT BÀI HỘI THẢO KHOA HỌC QUỐC GIA \n“NÂNG CAO NĂNG LỰC CẠNH TRANH CỦA TỈNH KON TUM”\nTrong khuôn khổ kế hoạch hoạt động nghiên cứu khoa học, Khoa Kinh tế - Trường Đại học Kinh tế Đà Nẵng thực hiện nhiệm vụ phối hợp với Phân hiệu Đại học Đà Nẵng tại Kon Tum, Sở Kế hoạch và Đầu tư tỉnh Kon Tum, Liên hiệp các Hội khoa học và Kỹ thuật tỉnh Kon Tum đồng tổ chức Hội thảo khoa học quốc gia với chủ đề: “Nâng cao năng lực cạnh tranh của tỉnh Kon Tum”.\nNội dung của Hội thảo\n- Đánh giá tổng quan về tình hình phát triển kinh tế năm 2023 của tỉnh Kon Tum.\n- Đánh giá thực trạng, thuận lợi, khó khăn trong việc nâng cao năng lực cạnh tranh của tỉnh Kon Tum.\n- Nhận diện cơ hội, thách thức đối với việc nâng cao năng lực cạnh tranh của tỉnh Kon Tum.\n- Phân tích kinh nghiệm nâng cao năng lực cạnh tranh của các địa phương.\n- Đánh giá các nhân tố ảnh hưởng đến việc nâng cao năng lực cạnh tranh của các địa phương.\n- Phân tích các yếu tố về thể chế, chính sách tác động đến hiệu quả năng lực cạnh tranh.\n- Đề xuất định hướng và hệ thống giải pháp khả thi nâng cao năng lực cạnh tranh, cải thiện môi trường kinh doanh của tỉnh Kon Tum.\n- Các nội dung khác có liên quan đến chủ đề hội thảo.\nThời gian và địa điểm tổ chức\n- Thời gian: Dự kiến 28/06/2024\n- Địa điểm: Phân hiệu Đại học Đà Nẵng tại Kon Tum.\nThời hạn và địa chỉ gửi bài:\n- Địa chỉ gửi bài: bài viết vui lòng gửi về địa chỉ Email: hoithao@due.edu.vn\n- Thời gian gửi bài: trước ngày 30/04/2024\nThông tin liên hệ\nMọi thông tin chi tiết về Hội thảo, xin vui lòng liên hệ:\n- Bà Trương Thị Kiều Vân. ĐT: 0914364034, Email: ttkvan@kontum.udn.vn\n- Bà Nguyễn Thị Phương Thảo. ĐT: 0905871166 Email: thaonguyen@due.edu.vn\nBan tổ chức rất mong nhận được bài tham luận của các nhà khoa học và rất hân hạnh được đón tiếp Quý đại biểu tham dự Hội thảo.\nTrân trọng./.']","['Tất cả, 12', 'Thích, 9', 'Yêu thích, 3']",[],1582,"Thứ bảy, 2 Tháng 3, 2024 lúc 12:00"
"['[TUYỂN SINH CHƯƠNG TRÌNH THẠC SĨ]\n Chi tiết xem tại: http://due.udn.vn/.../thongbaochitiet/id/18532/bid/456\nTrong đợt tuyển sinh đợt 1 năm 2024, Khoa Kinh tế tuyển sinh 2 ngành: Quản lý kinh tế (80 chỉ tiêu), ngành Kinh tế phát triển (30 chỉ tiêu)\n HẠN NỘP HỒ SƠ ĐẾN HẾT 15/3/2024 ', '[TUYỂN SINH CHƯƠNG TRÌNH THẠC SĨ]\n Chi tiết xem tại: http://due.udn.vn/.../thongbaochitiet/id/18532/bid/456\n LÝ DO ĐỂ CHƯƠNG TRÌNH THẠC SĨ LÀ LỰA CHỌN TỐI ƯU CHO TƯƠNG LAI\n Chương trình đào tạo tiên tiến, tiệm cận hàn lâm quốc tế\n Đội ngũ giảng viên giàu kinh nghiệm\n Ngành học và chương trình học đa dạng (Định hướng nghiên cứu/Định hướng ứng dụng)\n Miễn tiếng Anh đầu vào đối với học viên có chứng chỉ Ngoại ngữ và sinh viên đã tốt nghiệp các trường thành viên thuộc Đại học Đà Nẵng trong vòng 02 năm\n Đa dạng các loại học bổng, ưu đãi trong tuyển sinh\n Thời gian học tập linh hoạt, phù hợp với người đi làm\n HẠN NỘP HỒ SƠ ĐẾN HẾT 15/3/2024 \n  Đăng ký #XÉT_TUYỂN tại: http://dangkyxettuyen.due.udn.vn/\n Trường Đại học Kinh tế #XÉT_Tuyển chương trình đào tạo #thạc_sĩ đợt 1 năm 2024 đối với 7 ngành:\n Quản trị kinh doanh\n Tài chính - Ngân hàng\n Quản lý kinh tế\n Kế toán\n Kinh tế phát triển\n Triết học\n Thống kê kinh tế\n  #MIỄN kỳ thi ngoại ngữ khi xét tuyển đầu vào đối với:\n Sinh viên #tốt_nghiệp các trường thành viên của Đại học Đà Nẵng (UD) trong vòng 02 năm\n Thí sinh có năng lực ngoại ngữ từ Bậc 3 trở lên theo Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam\n Tận dụng ưu thế và có một khởi đầu thật mỹ mãn cho hành trình chinh phục tấm bằng #THẠC_SĨ DUE nhé \n Lưu ý: Nếu chưa đủ điều kiện ngoại ngữ đầu vào, thí sinh vẫn có thể tham gia kỳ thi đánh giá năng lực ngoại ngữ đầu vào bậc thạc sĩ do Trường/ĐHĐN tổ chức.\n Chi tiết xem tại: http://due.udn.vn/.../thongbaochitiet/id/18532/bid/456\n Còn thắc mắc \n Liên hệ ngay hotline: 02363 969 088 – 02363 950 110 hoặc fanpage Trường Đại học Kinh tế - Đại học Đà Nẵng (www.fb.com/FaceDUE) để được tư vấn trực tiếp \n#DUE #tuyensinh #xettuyen #thacsi #quantrikinhdoanh #taichinh #nganhang #quanlykinhte #ketoan #kinhtephattrien #triethoc #thongkekinhte']","['Tất cả, 5', 'Thích, 4', 'Yêu thích, 1']",[],3143,"Thứ Ba, 20 Tháng 2, 2024 lúc 16:05"
"['KIỂM TRA THÔNG TIN XÉT TỐT NGHIỆP (DỰ KIẾN) ĐỢT 1 NĂM HỌC 2023-2024\nKính gửi: Sinh viên các lớp hệ chính quy đã nộp hồ sơ đề nghị xét công nhận tốt nghiệp đợt 1 năm học 2023 - 2024.\n Hiện nay đã có kết quả xét công nhận tốt nghiệp (DỰ KIẾN) đợt 1 năm học 2023 - 2024 đối với sinh viên các lớp hệ chính quy. Đề nghị những sinh viên đã nộp đơn xét công nhận tốt nghiệp đợt này kiểm tra toàn bộ thông tin liên quan trong danh sách đính kèm và kiểm tra thông tin cá nhân: Họ và tên, ngày /tháng/năm sinh, nơi sinh, dân tộc, trong tài khoản cá nhân. Nếu có sai sót báo về phòng CTSV - cô Trang (02363 950464). Các sinh viên còn nợ học phí sẽ không được xét tốt nghiệp.\nMọi thắc mắc vui lòng liên hệ với Thầy, Cô Giáo vụ Khoa và Phòng Đào tạo trước 16h00 ngày 17/01/2024 (Thứ Tư) để được giải quyết.\nLINK DSSV DỰ KIẾN TỐT NGHIỆP: ']","['Tất cả, 7', 'Thích, 6', 'Yêu thích, 1']",[],5373,"Thứ Ba, 16 Tháng 1, 2024 lúc 20:12"
"['CHIẾN DỊCH TÌNH NGUYỆN ĐÔNG - MÙA YÊU THƯƠNG 2024\n[ĐỒNG HÀNH CÙNG CHIẾN DỊCH]\n——————————\nTình nguyện đông hằng năm luôn là dịp để nhà KITE gói ghém yêu thương, mang thật nhiều điều ý nghĩa đến những miền đất khó khăn.\nĐể xây đắp nên một mùa xuân thật nghĩa tình, đồng hành cùng LCĐ Khoa Kinh tế không thể không kể đến quý tài trợ: Hoops, Bệnh viện mắt Sài Gòn,  MobiFone và Công ty Đại Hòa.\nNh… Xem thêm', 'CHIẾN DỊCH TÌNH NGUYỆN ĐÔNG - MÙA YÊU THƯƠNG 2024\n[ĐỒNG HÀNH CÙNG CHIẾN DỊCH]\n——————————\nTình nguyện đông hằng năm luôn là dịp để nhà KITE gói ghém yêu thương, mang thật nhiều điều ý nghĩa đến những miền đất khó khăn.\nĐể xây đắp nên một mùa xuân thật nghĩa tình, đồng hành cùng LCĐ Khoa Kinh tế không thể không kể đến quý tài trợ: Hoops, Bệnh viện mắt Sài Gòn,  MobiFone và Công ty Đại Hòa.\nNhững nhà hảo tâm trên đã hỗ trợ hết mình trong suốt quá trình chuẩn bị cho chương trình mùa yêu thương 2024, rất nhiều phần quà ý nghĩa sắp tới sẽ được trao cho những em nhỏ, những hộ gia đình khó khăn tại nơi chiến dịch đóng quân. Những hành động san sẻ này của quý vị chắc chắn sẽ mang đến giá trị tốt đẹp cho xã hội, tạo nên một mùa tình nguyện thật thành công và ý nghĩa.\nLCĐ Khoa Kinh tế xin chân thành cảm ơn sự tin tưởng của các NTT đối với chiến dịch Tình nguyện đông năm nay, kính chúc quý NTT ngày càng phát triển và thành công hơn trong tương lai!\n————————\n[LCĐ KHOA KINH TẾ]\nFanpage: https://www.facebook.com/kinhtedn.khoa\nTik Tok: https://www.tiktok.com/@kinhteniac.due\nHotline: 0708064845 - 0906415946\n#ChuongTrinhDuca\n#Tinhnguyendong #TNĐ\n#Muayeuthuong2024 #MYT2024\n#Lcđkhoakinhte #Kite\n2. Mô tả từng ảnh :\n————————\n NTT đồng hành HOOPS(Hoops.vn)\nHOOPS Việt Nam ra mắt thị trường vào năm 2022, là một trong những doanh nghiệp hiếm hoi tại Việt Nam hoạt động trong lĩnh vực thời trang thể thao. Sở hữu dây chuyền sản xuất chuyên nghiệp, tạo ra những sản phẩm đảm bảo, đáp ứng được những yêu cầu khắt khe của thị trường Úc và Nhật Bản. Với mục tiêu cung cấp các sản phẩm thể thao chất lượng, mang lại cảm giác thoải mái và thời trang cho khách hàng với mức giá vô cùng hợp lý, cùng với sự tư vấn nhiệt tình của đội ngũ nhân viên chắc chắn sẽ đem lại cho khách hàng những trải nghiệm tuyệt vời.\n NTT đồng hành BV Mắt Sài Gòn:\nBệnh viện mắt Sài Gòn là hệ thống bệnh viện chuyên khoa mắt ngoài công lập lớn nhất Việt Nam. Là người bạn đồng hành cho sức khỏe với đội ngũ bác sĩ có nền tảng chuyên môn vững chắc, giàu kinh nghiệm và y đức, hệ thống trang thiết bị y tế hiện đại bậc nhất được nhập khẩu từ các nước Anh, Mỹ, Đức. Mang đến cho khách hàng những trải nghiệm tuyệt vời với mức chi phí hợp lý cùng nhiều ưu đãi hỗ trợ hấp dẫn.\n  NTT đồng hành MobiFone\nMobifone là mạng viễn thông di động đầu tiên tại Việt Nam, là một trong số các doanh nghiệp Viễn thông - Công nghệ thông tin - Nội dung số lớn nhất và là thương hiệu được khách hàng yêu thích lựa chọn. Với sứ mệnh không ngừng đổi mới, sáng tạo, đáp ứng mọi nhu cầu, nâng cao chất lượng dịch vụ, MobiFone đã đem đến những trải nghiệm tuyệt vời cho khách hàng.\n NTT Bạc Cty Đại Hòa:\nĐại Hòa là một công ty sản xuất thức ăn chăn nuôi, chuyên cung cấp thức ăn gia súc, gia cầm, thức ăn thủy hải sản cho các đơn vị sản xuất. Nguyên liệu được thu mua từ tàu cá đánh bắt từ các cảng biển, khâu chế biến và sản xuất đảm bảo an toàn và chất lượng cho vật nuôi.\n————————']","['Tất cả, 6', 'Thích, 4', 'Yêu thích, 2']",[],5991,"Thứ Ba, 16 Tháng 1, 2024 lúc 20:07"
"['CHIẾN DỊCH TÌNH NGUYỆN ĐÔNG - MÙA YÊU THƯƠNG 2024\n[TRANG KÍ ỨC CỦA CHÚNG TA]\n————————\nChiến dịch Tình nguyện đông - Mùa yêu thương 2024 vừa qua đã diễn ra thành công rực rỡ, những kỷ niệm đẹp và trải nghiệm đáng nhớ trong hành trình đã để lại trong lòng mỗi chúng ta những cảm xúc không thể nào quên.\nXin được cảm ơn những tình nguyện viên, những trái tim nhiệt huyết, những con người luôn ủng hộ và cũng chính là những người đã làm cho Mùa yêu thương 2024 trở thành một trang… Xem thêm', 'CHIẾN DỊCH TÌNH NGUYỆN ĐÔNG - MÙA YÊU THƯƠNG 2024\n[TRANG KÍ ỨC CỦA CHÚNG TA]\n————————\nChiến dịch Tình nguyện đông - Mùa yêu thương 2024 vừa qua đã diễn ra thành công rực rỡ, những kỷ niệm đẹp và trải nghiệm đáng nhớ trong hành trình đã để lại trong lòng mỗi chúng ta những cảm xúc không thể nào quên.\nXin được cảm ơn những tình nguyện viên, những trái tim nhiệt huyết, những con người luôn ủng hộ và cũng chính là những người đã làm cho Mùa yêu thương 2024 trở thành một trang ký ức đẹp đẽ trong quãng đời tuổi trẻ ngắn ngủi và vội vã này.\nHy vọng rằng những hoạt động sẻ chia yêu thương vừa qua luôn chiếm một góc ấm áp trong lòng mỗi người, là động lực để mỗi chúng ta sống chan hoà hơn, yêu thương, quan tâm hơn đến những người xung quanh.\nTình nguyện đông rồi sẽ quay trở lại và tái ngộ với các bạn, chúng ta sẽ lại khoác lên mình màu áo xanh thanh niên, mang hạnh phúc đến nhiều vùng đất xa xôi hơn nữa!\nVà giờ hãy cùng nhìn lại những khoảnh khắc làm việc chăm chỉ của Mùa yêu thương 2024 nào!!!\n————————\nLink ảnh: https://drive.google.com/.../16rD9GGuJ_tpNJWIbuMHcEwZ...\n————————\n[LCĐ KHOA KINH TẾ]\nFanpage: https://www.facebook.com/kinhtedn.khoa\nTik Tok: https://www.tiktok.com/@kinhteniac.due\nHotline: 0708064845 - 0906415946\n#Tinhnguyendong #TNĐ\n#Muayeuthuong2024 #MYT2024\n#Lcđkhoakinhte #Kite']","['Tất cả, 6', 'Thích, 5', 'Yêu thích, 1']",[],8201,"Thứ Ba, 16 Tháng 1, 2024 lúc 20:05"
"['CHIẾN DỊCH TÌNH NGUYỆN ĐÔNG\n TRẠM DỪNG CỦA MÙA YÊU THƯƠNG 2024\n————————\nThời gian: ngày 10-11/01/2024\nĐịa điểm: xã Hiệp Hòa, huyện Hiệp Đức, tỉnh Quảng Nam\n————————\nVới mục tiêu trao gửi yêu thương đến những miền đất xa, cống hiến tích cực đến cộng đồng, Mùa yêu thương 2024 đã chuẩn bị chạm đến vạch đích.\nKhoảng thời gian gây quỹ vừa rồi thật sự rất ý nghĩa khi tất cả tình nguyện viên cùng nhau chung tay đóng góp. Chỉ còn vài giờ nữa thôi, chuyến xe tình nguyện sẽ lăn bánh đưa chúng ta đến vùng đất Quảng Nam. \nMang trong mình “ngọn lửa” nhiệt huyết tuổi trẻ, các bạn tình nguyện viên ơi, các bạn đã sẵn sàng cống hiến mình hết sức trong chuyến đi lần này chưa? Hãy ngủ đủ giấc, chuẩn bị đầy đủ vật dụng cần thiết và trang bị cho mình tinh thần tốt nhất cho chuyến đi lần này nhé!\nChúc cho chương trình Tình nguyện Đông - Mùa yêu thương 2024 sẽ diễn ra thành công tốt đẹp!!!', 'CHIẾN DỊCH TÌNH NGUYỆN ĐÔNG\n TRẠM DỪNG CỦA MÙA YÊU THƯƠNG 2024\n————————\nThời gian: ngày 10-11/01/2024\nĐịa điểm: xã Hiệp Hòa, huyện Hiệp Đức, tỉnh Quảng Nam\n————————\nVới mục tiêu trao gửi yêu thương đến những miền đất xa, cống hiến tích cực đến cộng đồng, Mùa yêu thương 2024 đã chuẩn bị chạm đến vạch đích.\nKhoảng thời gian gây quỹ vừa rồi thật sự rất ý nghĩa khi tất cả tình nguyện viên cùng nhau chung tay đóng góp. Chỉ còn vài giờ nữa thôi, chuyến xe tình nguyện sẽ lăn bánh đưa chúng ta đến vùng đất Quảng Nam. \nMang trong mình “ngọn lửa” nhiệt huyết tuổi trẻ, các bạn tình nguyện viên ơi, các bạn đã sẵn sàng cống hiến mình hết sức trong chuyến đi lần này chưa? Hãy ngủ đủ giấc, chuẩn bị đầy đủ vật dụng cần thiết và trang bị cho mình tinh thần tốt nhất cho chuyến đi lần này nhé!\nChúc cho chương trình Tình nguyện Đông - Mùa yêu thương 2024 sẽ diễn ra thành công tốt đẹp!!!\n————————\n[LCĐ KHOA KINH TẾ]\nFanpage: https://www.facebook.com/kinhtedn.khoa\nTik Tok: https://www.tiktok.com/@kinhteniac.due\nHotline: 0708064845 - 0906415946\n#Tinhnguyendong #TNĐ\n#Muayeuthuong2024 #MYT2024\n#Lcđkhoakinhte #Kite']","['Thích, 4']",[],10172,"Thứ Tư, 10 Tháng 1, 2024 lúc 08:23"
"['THÔNG BÁO V/V RÚT HỌC PHẦN TRONG HỌC KỲ II NĂM HỌC 2023 – 2024 ĐỐI VỚI SINH VIÊN CÁC LỚP HỆ CHÍNH QUY\nCăn cứ các quy định về việc rút học phần đã đăng ký trong chương trình đào tạo bậc đại học hệ chính quy, Nhà trường thông báo thời gian thực hiện việc rút học phần đã được đăng ký trong học kỳ II năm học 2023 - 2024 đối với sinh viên các lớp hệ chính quy, thông tin chi tiết xem tại link sau: http://due.udn.vn/vi-vn/thongbao/thongbaochitiet/id/18407/bid/456?fbclid=IwAR39MAIWwaMyKUbwn8vKNPxBG1GTkOyQ8SDM4HvbtInAyJMv3kblrIpNY54\nCác bạn sinh viên chú ý  thực hiện đúng theo kế hoạch của nhà trường.']","['Thích, 8']",[],11803,"Thứ Ba, 9 Tháng 1, 2024 lúc 13:01"
"['THÔNG BÁO KẾ HOẠCH NGHỈ TẾT NGUYÊN ĐÁN 2024 ĐỐI VỚI SINH VIÊN\nCăn cứ kế hoạch năm học 2023-2024, Nhà trường thông báo kế hoạch nghỉ tết Nguyên đán 2024 đối với sinh viên các lớp đại học hệ chính quy như sau:\nSinh viên được nghỉ 3 tuần, bắt đầu từ ngày 29/01/2024 đến hết ngày 18/02/2024 ((tức ngày 19/12/2023 đến ngày 09/01/2024 âm lịch). Từ thứ Hai, ngày 19/02/2024 (ngày 10/01/2024 âm lịch), sinh viên trở lại trường học tập theo thời khoá biểu và kế hoạch đã công bố.\nTrong thời gian nghỉ tết, đề nghị sinh viên nghiêm túc chấp hành các quy định pháp luật về an toàn giao thông, an ninh trật tự.  \nTrân trọng!']","['Tất cả, 16', 'Thích, 14', 'Yêu thích, 2']",[],12561,"Thứ Ba, 9 Tháng 1, 2024 lúc 08:17"
"['CÔNG TY CHỨNG KHOÁN YUANTA VIỆT NAM - CN ĐÀ NẴNG TUYỂN DỤNG\n  Vị trí: \n- CHUYÊN VIÊN TƯ VẤN ĐẦU TƯ CHỨNG KHOÁN  VÀ THỰC TẬP SINH\n  Địa điểm làm việc:\n-  Tầng 1, tòa nhà Hải Vân - Số 150-156 Nguyễn Văn Linh, Thanh Khê, Đà Nẵng. \n- Thời gian: Từ T2 - T6 \n  MÔ TẢ CÔNG VIỆC\n- Xây dựng và phát triển tệp khách hàng tiềm năng\n- Chăm sóc và hỗ trợ tư vấn đầu tư chứng khoán \n  LƯƠNG THƯỞNG VÀ ĐÃI NGỘ:\n- Từ 10-30 triệu, thu nhập không giới hạn theo doanh số\n- Được du lịch hằng năm cùng công ty\n- Bảo hiểm, phúc lợi \n  YÊU CẦU:\n-  Từ 21- 35 tuổi \n- Không yêu cầu kinh nghiệm, sẽ được đào tạo khi làm việc\n- Tốt nghiệp Đại học trở lên hoặc là các bạn sinh viên năm 4 của các Trường Đại Học\n-  Kiên trì, ham học hỏi, cầu tiến.\n- Yêu thích và đam mê chứng khoán. \n- Tinh thần trách nhiệm cao.\n  Liên hệ: \n- Phone: 0975 909 072 - Mr. Bá Anh\n- Email: anh.dang@yuanta.com.vn']","['Thích, 14']",[],13371,"Thứ Năm, 4 Tháng 1, 2024 lúc 16:26"
