content,emoji,comment,current,time
"['Vietlink Education Vietnam\nTư vấn viên giáo dục\nG\na\ni\n n\nọ\ny\ng', 'Vietlink Education Vietnam\no\nr\nn\ne\np\no\nS\nd\nt\ns\ng\nu\n5\n1\n2\nu\n0\n0\n8\nh\na\n3\n3\n2\nh\nm\n m\n3\nn\n2\na\nu\nm\n6\n4\nú\na\nc\nt\na\nh\ná\n0\ni\n h\ng\nu\n0\n3\n7\n 1\n :\nh\n9\n0\nl\n  ·', ' THÔNG BÁO HỌC BỔNG TOÀN PHẦN TẠI BA LAN 2024\n - Muốn đi du học nhưng không có tài chính.Việc duy nhất bạn cần là follow page Vietlink ở chế độ ưu tiên. Vì ở đây chúng tôi thường xuyên cập nhật học bổng.\nHọc bổng toàn phần Ba Lan – không yêu cầu ielts\n Thời hạn đăng ký học bổng: 06/04/2024\n Chế độ học bổng:\nMiễn học phí tại Ba Lan \n Được cấp sinh hoạt phí hàng tháng \n Hỗ trợ chỗ ở\n Được cấp vé máy bay khứ hồi\n Được miễn phí Bảo hiểm y tế;\n Điều kiện hồ sơ:\n**Đối với bậc đại học:\n Sinh viên năm 1 của các trường đại học .\n Điểm trung bình 3 năm cấp 3 >7.0\n Điểm trung bình Học Kỳ 1 năm nhất đại học >7.0\n**Đối với bậc thạc sĩ:\n Sinh viên tốt nghiệp đại học đạt loại giỏi trong thời gian 01/01/2023 đến hết ngày 31/3/2024\n Người có trình độ đại học đạt loại khá trở lên, đang công tác tại các cơ quan nhà nước, các cơ sở giáo dục đại học\n**Đối với bậc tiến sĩ:\n Người có trình độ đại học đạt loại khá trở lên và điểm trung bình chung học tập bậc thạc sĩ đạt từ 7,0 trở lên công tác tại các cơ quan nhà nước\n  Người có trình độ đại học đạt loại khá trở lên và tốt nghiệp thạc sĩ trong thời gian từ ngày 01/01/2023 đến hết ngày 31/3/2024 tại Việt Nam có điểm trung bình chung học tập đạt từ 8,0 trở lên hoặc tại nước ngoài với kết quả học tập loại giỏi\n Nộp hồ sơ tại Vietlink Education Vietnam hoặc gọi 0919.798.809 để tìm hiểu chi tiết học bổng.\n-------------------------------------\n𝗗𝗨 𝗛𝗢̣𝗖 𝗩𝗜𝗘𝗧𝗟𝗜𝗡𝗞 𝗘𝗗𝗨𝗖𝗔𝗧𝗜𝗢𝗡\nTư vấn Miễn Phí: https://s.net.vn/rfXX  \n 23 Xuân Tâm, Quận Hải Châu, Đà Nẵng\n 0236 3990088 - Hotline: 0919.798.809\n#Duhoc, #tuvanduhoc, #vietlink, #Scholarship, #Hocbongchinhphu, #Hocbongtoanphan\n#Balan , #Nga, #Bungary, #Hungary, #Úc, ….']","['Thích, 4']",[],1182,"Thứ bảy, 9 Tháng 3, 2024 lúc 10:24"
"[' Chúc mừng Ngày Quốc tế Phụ nữ 8/3! \n Phòng Công tác sinh viên thân gửi những lời chúc tốt đẹp nhất tới các cô, các bạn nữ sinh của trường Đại học Kinh tế - ĐHĐN, và đặc biệt gửi đến những người phụ nữ tuyệt vời của Phòng CTSV.']","['Tất cả, 214', 'Thích, 131', 'Yêu thích, 83']",[],2808,"Thứ Sáu, 8 Tháng 3, 2024 lúc 08:06"
"['Trường Đại học Kinh tế - ĐHĐN thông báo về học bổng ""LOTTE - Shin Kyuk-ho Scholarship"" năm học 2023-2024\n========\n1. Số lượng và giá trị học bổng\n- Số lượng: 06 suất\n- Giá trị mỗi suất: 450 USD\n2. Tiêu chuẩn bắt buộc\n-  Sinh viên (SV) hệ chính quy Khóa 49K đang học tập tại Trường và không vi phạm kỷ luật;\n- Kết quả học tập kỳ 1, năm học 2023-2024 từ 3.2 trở lên tính theo thang điểm 4.0;\n- Điểm rèn luyện học kỳ 1, năm học 2023-2024 từ 80 trở lên;\n- SV có điều kiện hoàn cảnh gia đình khó khăn, có ý chí vươn lên trong học tập;\n- Có khả năng giao tiếp tiếng Anh, tiếng Trung, tiếng Hàn;\n- Chưa nhận học bổng của bất kỳ tổ chức, doanh nghiệp, đơn vị bên ngoài Trường tài trợ trong năm học 2023-2024.\n- Tiêu chí ưu tiên: Sinh viên tích cực tham gia và có thành tích trong các hoạt động hỗ trợ Nhà trường, công tác xã hội, tình nguyện vì cộng đồng và các phong trào thi đua.\nThông báo chi tiết tại: http://due.udn.vn/.../thongbaochitiet/id/18633/bid/456']","['Tất cả, 103', 'Thích, 84', 'Yêu thích, 19']",[],3496,"Thứ Năm, 7 Tháng 3, 2024 lúc 15:51"
"[""Nhân dịp 8 tháng 3, Phòng Công tác sinh viên xin dành những lời chúc tốt lành, may mắn và hạnh phúc đến với các cô.\nHappy Women's Day!"", '13. Công đoàn Phòng Công tác sinh viên\nChị em vốn thật dễ thương\nNên luôn xứng đáng được nhiều người Like /-heart']","['Tất cả, 57', 'Thích, 36', 'Yêu thích, 21']",[],4567,"Thứ Năm, 7 Tháng 3, 2024 lúc 09:04"
"['THÔNG BÁO VỀ VIỆC NHẬN BẰNG TỐT NGHIỆP THPT KHOÁ 47K\n-----\nPhòng Công tác sinh viên thông báo cho Sinh viên Khoá 47K, có tên trong danh sách đến phòng Công tác sinh viên nhận bằng tốt nghiệp Trung học phổ thông. (gặp Cô Trang)\nThời gian: Ngày 05/03/2024.\nĐề nghị sinh viên có tên trong danh sách nghiêm túc thực hiện.\nSinh viên xem danh sách tại đây:  ']","['Thích, 14']",[],5302,"Thứ Năm, 29 Tháng 2, 2024 lúc 15:56"
"['CHÚC MỪNG SINH VIÊN NHẬN HỌC BỔNG ""MB - ĐỒNG HÀNH CÙNG SINH VIÊN"" NĂM 2023\n---------\nPhòng Công tác sinh viên chúc mừng 10 bạn sinh viên được xét chọn tiếp nhận học bổng ""MB - Đồng hành cùng sinh viên"" năm 2023 của Ngân hàng MB Bank với trị giá mỗi suất 10.000.000 đồng. Bên cạnh đó Ngân hàng MB Bank còn tài trợ 100.000.000 đồng cho Khoa Quản trị Kinh doanh - Trường Đại học Kinh tế - Đại học Đà Nẵng.\nPhòng Công tác sinh viên chúc mừng 10 bạn sinh viên đã được nhận học bổng và mong rằng các bạn sẽ tiếp tục duy trì thành tích học tập, rèn luyện, hoạt động xuất sắc của mình trong những học kỳ sắp tới.']","['Tất cả, 277', 'Thích, 167', 'Yêu thích, 104', 'Thương thương, 3', 'Haha, 1', 'Wow, 1', 'Buồn, 1']",[],5769,"Thứ Tư, 28 Tháng 2, 2024 lúc 15:08"
"['Vietlink Education Vietnam\nTư vấn giáo dục\nGửi tin nhắn', 'Vietlink Education Vietnam đang cảm thấy tuyệt vời.\n  ·', 'Cơ hội đến xứ sở Cổ tích\nĐối với nhiều bạn, xứ sở Bạch Dương còn khá xa lạ. Các bạn hẳn nghe nhiều đến đi du học Anh, Mỹ, Đức nhưng riêng xứ sở Bạch Dương có thể trong ấn tượng của các bạn là cái lạnh thấu xương, là tuyết đầy trời hay là những chú gấu nâu chạy long nhong ngoài đường.\nNô nô. Nếu vậy bạn hãy thử đi du lịch hay chỉ cần thử tìm hiểu các từ khoá như ""Thu vàng nước Nga"", ""Cung điện mùa đông""; ""Cung điện mùa hè"", ""Cung điện mùa thu""...xem thử có đúng không nhé.\nMột khi bạn đã đặt chân đến xứ sở này thì nó sẽ trở thành đất nước ruột thịt thứ 2 của bạn. Bạn có thể tự tìm hiểu những người con của xứ sở Bạch Dương xem thử, có ai không hoài niệm, không nhớ, không thương xứ sở này?\nAd đã từng học tập tại xứ này 10 năm, cũng đã từng đi du lịch các nước châu Âu, nhưng đối với ad, nơi này vẫn là nơi mình muốn quay lại nhất nếu muốn có cơ hội. Vì vẻ đẹp hùng vĩ, thơ mộng, lãng mạng không đâu sánh bằng. Bởi thế nơi đây mới sản sinh ra những nhà thơ nổi tiếng như Pushkin.\nĐối với những bạn không có điều kiện đi du lịch thì cũng có cơ hội ghé thăm xứ sở cổ tích này qua con đường du học như ad. Hằng năm xứ sở Bạch Dương đều cấp hơn 1000 học bổng cho các bạn học sinh ưu tú lớp 12, sinh viên năm nhất đại học, hay các bạn muốn học Thạc sỹ, Tiến sĩ có điểm trung bình từ khá trở lên có cơ hội học tập MIỄN PHÍ tại các trường Top ở các thành phố lớn nơi đây mà KHÔNG CẦN IELTS. Mức sống chi tiêu tương đương Hà Nội, Sài Gòn, thậm chí ad còn thấy rẻ hơn.\nHãy liên hệ với Vietlink để được hướng dẫn apply nhé.\nThời gian đăng ký từ: ngày 01/9/2023 đến hết ngày 20/03/2024']","['Thích, 1']",[],7076,"Thứ Tư, 28 Tháng 2, 2024 lúc 13:57"
"['Sinh viên Trường Đại học Kinh tế - Đại học Đà Nẵng được nhận Học bổng của Tập đoàn Thép JFE, Nhật Bản\n----------------\nChiều ngày 26/02/2024, Đại học Đà Nẵng (ĐHĐN) phối hợp với Tập đoàn Thép JFE, Nhật Bản tổ chức Lễ trao Học bổng JFE cho 11 sinh viên (SV) các trường đại học (ĐH) thành viên, đơn vị đào tạo trực thuộc của ĐHĐN, mỗi suất 400.000 Yên (tương đương 6,4 triệu đồng). Hai sinh viên Đường Yến Vy (sinh viên lớp 47K28.2) và Mai Hải Đăng (sinh viên lớp 48K03.1) Trường Đại học Kinh tế vinh dự được nhận học bổng trong đợt trao lần thứ 11 của Tập đoàn Thép JFE dành cho sinh viên ĐHĐN.\nPhòng Công tác sinh viên chúc mừng 02 bạn sinh viên đã được nhận học bổng và mong rằng học bổng không chỉ là nguồn kinh tài, mà còn là niềm tự hào và động viên tinh thần để các em cố gắng hơn nữa trong học tập và rèn luyện.']","['Tất cả, 124', 'Thích, 74', 'Yêu thích, 48', 'Thương thương, 2']",[],8503,"Thứ Ba, 27 Tháng 2, 2024 lúc 19:30"
"['THÔNG BÁO\nĐể chuẩn bị xét học bổng Khuyến khích học tập và ban hành Quyết định công nhận Điểm rèn luyện. Nhà trường yêu cầu tất cả sinh viên kiểm tra điểm rèn luyện tại http://due.udn.vn => Đăng nhập => Sinh viên => Trình đơn cá nhân => Tra cứu điểm rèn luyện.\nNếu sai, sinh viên báo ngay cho GVCN và phòng CTSV theo:\n- Khóa 46K, 47K, 48K: trước 9h00 ngày 28/02/2024 (Thứ 4).\n- Khóa 49K: trước 9h00 ngày 05/03/2024 (Thứ 3).\nSau thời gian trên, Nhà trường sẽ khóa dữ liệu để chuẩn bị xét học bổng chính thức và ban hành Quyết định công nhận điểm rèn luyện, sinh viên chịu trách nhiệm về điểm rèn luyện của mình.']","['Tất cả, 147', 'Thích, 124', 'Yêu thích, 23']",[],9457,"Thứ Ba, 27 Tháng 2, 2024 lúc 17:06"
"['Chính phủ Liên bang Nga cấp 1.000 chỉ tiêu học bổng cho công dân Việt Nam đi học tại Liên bang Nga.\nMức học bổng: Miễn học phí, cấp học bổng hằng tháng, bố trí chỗ ở trong KTX, tài trợ vé máy bay, lệ phí visas, bảo hiểm...\nThông tin chi tiết, vui lòng đọc tại link ở phần comment.']","['Thích, 10']",[],9923,"Thứ Hai, 26 Tháng 2, 2024 lúc 10:17"
