content,emoji,comment,current,time
"['CHÀO MỪNG NGÀY QUỐC TẾ PHỤ NỮ 8/3! \nNhân dịp ngày Quốc tế Phụ nữ 8/3, Khoa Ngân hàng xin gửi lời chúc mừng tốt đẹp nhất đến tất cả những người phụ nữ tuyệt vời! \nChúc cho các bạn nữ luôn xinh đẹp, rạng rỡ, hạnh phúc và thành công trong cuộc sống! \nHãy luôn tự tin tỏa sáng và khẳng định bản thân, bởi vì phụ nữ chính là một nửa của thế giới! \nKhoa Ngân hàng đã, đang và sẽ luôn tự hào khi có đội ngũ nữ cán bộ, giảng viên và sinh viên tài năng, nhiệt huyết và đầy sáng tạo. \nCảm ơn các bạn đã góp phần xây dựng Khoa Ngân hàng ngày càng phát triển!\nChúc các bạn một ngày 8/3 thật ý nghĩa và đáng nhớ! \n#BankingDue\n#BankingMediaTeam\n#Quoctephunu']","['Tất cả, 50', 'Yêu thích, 28', 'Thích, 22']",[],704,"Thứ Sáu, 8 Tháng 3, 2024 lúc 07:20"
"['BÌNH CHỌN CHO CÔNG ĐOÀN KHOA NGÂN HÀNG \n Tuần lễ Áo Dài rực rỡ sắc màu đã đến rồi! \nCùng hòa mình vào không khí xinh đẹp và duyên dáng này, Công đoàn Khoa Ngân hàng hân hạnh tham gia cuộc thi ảnh hưởng ứng ""Tuần lễ Áo Dài"" năm 2024 với những tà áo dài thướt tha, thanh lịch của các nữ giảng viên khoa.\n CÁCH THỨC BÌNH CHỌN:\n1. Truy cập vào bài đăng gốc trên Facebook Công Đoàn Due , hoặc click vào ảnh bên dưới.\n2. Thả like, tim \ncho bức ảnh của Công đoàn Khoa Ngân hàng.\n3. Chia sẻ bài đăng (set chế độ công khai) để lan tỏa yêu thương.\nThời gian kết thúc bình chọn: 11h00 08/03/2024\nHãy cùng chung tay bình chọn để ủng hộ cho các nữ giảng viên Khoa Ngân hàng nhé!', '08. Công đoàn Khoa Ngân hàng\nViệc nhà, việc nước đảm đang\nĐố ai qua được Ngân hàng chúng ta\nSáng nay áo dài thướt tha\nĐến Kinh tế dạy, tung tà chờ tym']","['Tất cả, 43', 'Thích, 27', 'Yêu thích, 16']",[],1780,"Thứ Tư, 6 Tháng 3, 2024 lúc 13:39"
"[' 𝐓𝐏𝐁𝐀𝐍𝐊 - 𝐁𝐀̉𝐍 𝐓𝐈𝐍 𝐓𝐔𝐘𝐄̂̉𝐍 𝐃𝐔̣𝐍𝐆 \n TPBank Đà Nẵng chào đón tất cả các ứng viên đến với đợt tuyển dụng lớn nhất Năm 2024:\n 𝗰𝗵𝘂𝘆𝗲̂𝗻 𝘃𝗶𝗲̂𝗻 𝗞𝗛𝗖𝗡 (ưu tiên có kinh nghiệm vị trí tương đương tối thiểu 1 năm tại các TCTD)\n 𝗻𝗵𝗮̂𝗻 𝘃𝗶𝗲̂𝗻 𝘁𝗮̣̂𝗽 𝘀𝘂̛̣ 𝗞𝗛𝗖𝗡 (Ưu tiên sinh viên mới ra trường)\n Lương cơ bản + incentive lên đến 15đ/tháng\n Được đào tạo bài bản, bố trí chổ ngồi và máy tính làm việc và có cơ hội vào chính thức\n Quyền lợi:\n- Mức lương cạnh tranh, lương cơ bản cao và thu nhập không giới hạn.\n- Môi trường làm việc chuyên nghiệp\n- Cơ hội thăng tiến, được đào tạo bài bản.\n Địa điểm làm việc: Số 271 Nguyễn Văn Linh, Thanh Khê, Đà Nẵng\n Ứng viên tải CV theo mẫu: http://www.mediafire.com/.../6n65ecs48d.../Mau_CV_TPBank.doc\n Gửi về mail: HangBTT1@tpb.com.vn \n Tiêu đề mail: UNGTUYEN_Họ và tên_Vị trí\nVD: UNGTUYEN_Nguyễn Văn A_KHCN']","['Tất cả, 26', 'Thích, 25', 'Yêu thích, 1']",[],3206,"Thứ Tư, 28 Tháng 2, 2024 lúc 08:00"
"[' MB LIGHT CHASERS 2024: Duy nhất 01 vòng phỏng vấn - Nhận kết quả trong vòng 24 giờ \n Trên hành trình trở thành Doanh nghiệp Số dẫn đầu, MB không ngừng tìm kiếm những nhân tố mang trong mình khát vọng được gia nhập môi trường làm việc luôn tạo cơ hội, thúc đẩy việc thử nghiệm các phương pháp làm việc mới, các giải pháp phát triển theo xu thế thời đại, và trở thành đội ngũ gắn bó, tài năng.\n MB chính thức ra mắt Chương trình Tuyển dụng MB Light Chasers 2024 theo hành trình MB Pursue the Banker Road.\nMB Light Chasers - nơi mỗi ứng viên có thể tỏa sáng và đóng góp vào sự thành công của MB!\nBạn khát khao chinh phục những cơ hội mới, thách thức mới, và sẵn sàng không ngừng theo đuổi đến cùng để nhận được những gì bản thân xứng đáng? Đây chính là cơ hội để bạn tỏa sáng và đồng hành cùng MB Light Chasers trên hành trình đầy hứa hẹn!\nCác Vị trí Tuyển dụng: \n● Chuyên viên Khách hàng Cá nhân\n● Chuyên viên Khách hàng Doanh nghiệp \n● Chuyên viên UB\n● Chuyên viên Tập sự Khách hàng Cá nhân\n● Chuyên viên Tập sự Khách hàng Doanh nghiệp\n● Chuyên viên Tập sự UB\n● Chuyên viên Tập sự Khách hàng Doanh nghiệp lớn\nĐăng ký ngay để tỏa sáng hết khả năng của bản thân cùng MB Light Chasers tại đây: https://forms.gle/A7eZD6gc6sXhVmSB6\nLiên hệ: \nFacebook fanpage: https://www.facebook.com/mbcareersofficial \nEmail: tuyendung@mbbank.com.vn\n#MBBank #MBLightChasers  #PursueTheBankerRoad #MB']","['Tất cả, 22', 'Thích, 19', 'Yêu thích, 3']",[],4391,"Thứ Hai, 26 Tháng 2, 2024 lúc 12:00"
"['TUYỂN SINH ĐẠI HỌC CHÍNH QUY 2024\nNGÀNH TÀI CHÍNH - NGÂN HÀNG\nTRƯỜNG ĐẠI HỌC KINH TẾ - ĐẠI HỌC ĐÀ NẴNG\n------------------\n Ngành Tài chính - Ngân hàng của Trường Đại học Kinh tế - Đại học Đà Nẵng là chương trình đào tạo có truyền thống 35 năm và được công nhận là chương trình đào tạo hàng đầu khu vực miền Trung và Tây Nguyên.\n----------------\n Chỉ tiêu tuyển sinh ngành Tài chính - Ngân hàng năm nay: \n chỉ tiêu.\n Mã trường: 𝐃𝐃𝐐\n Mã ngành: 𝟕𝟑𝟒𝟎𝟐𝟎𝟏\n Ngành Tài chính - Ngân hàng gồm 3 chuyên ngành: Ngân hàng, Tài chính công và Tài chính doanh nghiệp.\n Bằng cấp: tốt nghiệp được cấp bằng Cử nhân Tài chính - Ngân hàng, hệ đại học chính quy của Trường ĐH Kinh tế - Đại học Đà Nẵng (bất kể người học theo chuyên ngành nào trong 3 chuyên ngành trên).\n Học phí: chuyên ngành Tài chính công được áp dụng mức học phí ưu đãi nhất\n------------------\n Năm học 2024 - 2025, Khoa Ngân hàng tuyển sinh đại học hệ chính quy với 2 chuyên ngành thuộc ngành Tài chính - Ngân hàng:\n Chuyên ngành Ngân hàng:\nhttp://due.udn.vn/vi-vn/tuvantuyensinh2024/gt/cid/5448\n Chuyên ngành Tài chính công:\nhttp://due.udn.vn/vi-vn/tuvantuyensinh2024/gt/cid/5449\n Phương thức tuyển:\nhttp://due.udn.vn/vi-vn/tuvantuyensinh2024/gt/cid/5417\n Quý vị phụ huynh và học sinh có thể tìm hiểu thông tin chi tiết theo những kênh liên lạc sau:\n SĐT: 0236 384 7001 (Văn phòng Khoa Ngân hàng, giờ hành chính)\n SĐT: 0935 238 396 (TS. Phan Đặng My Phương - Trưởng Bộ môn Ngân hàng)\n SĐT: 0903 506 063 (TS. Hoàng Dương Việt Anh - Trưởng Bộ môn Tài chính công)\n Website tuyển sinh của ĐH Kinh tế - ĐHĐN:\nhttp://tuyensinh.due.udn.vn\n Website của Khoa Ngân hàng:\ndue.udn.vn/vi-vn/khoa/ngan-hang\n Fanpage: https://www.facebook.com/due.tcnh/\nhttps://youtu.be/NvvzyLNkSgw\n-----------------------\n Những #điểm_nhấn trong tuyển sinh năm 2024 mà team #2K6 không thể bỏ qua:\n Chương trình cử nhân Kiểm toán tích hợp chứng chỉ nghề nghiệp quốc tế Anh Quốc (ACCA)\n 02 ngành/chuyên ngành có chương trình đào tạo 100% bằng tiếng Anh: #kinh_doanh_quốc_tế và #marketing_số\n Thêm lựa chọn học trao đổi 1-2 học kỳ với 10 trường đào tạo kinh tế hàng đầu Việt Nam\n Cơ hội sở hữu cùng lúc 02 bằng đại học với cơ chế đào tạo linh hoạt của DUE\n Học #thạc_sĩ ngay trong chương trình đào tạo đào tạo đại học\n Rút ngắn lộ trình chinh phục tấm bằng #thạc_sĩ\n Tham gia Tuyển sinh Đại học Kinh tế Đà Nẵng- DUE: www.fb.com/groups/tuyensinhddq để cập nhật thông tin tuyển sinh mới nhất!\n-------------\n#BankingDUE\n#BankingMediaTeam\n#Tuyensinh2024']","['Tất cả, 16', 'Thích, 10', 'Yêu thích, 6']",[],5738,"Thứ Sáu, 23 Tháng 2, 2024 lúc 11:12"
"['MỪNG TÂN XUÂN - GIÁP THÌN 2024\n“Dải mây trắng đỏ dần trên đỉnh núi,\nSương hồng lam ôm ấp nóc nhà tranh,\nTrên con đường viền trắng mép đồi xanh,\nNgười các ấp tưng bừng ra chợ Tết.”\n Có một cái Tết Việt vẫn đậm đà bản sắc dân tộc theo thời gian trên ba miền đất nước.  Bạn đã cảm nhận được không khí Tết đang tràn ngập khắp mọi nơi chưa ạ? \nTrong không khí rộn ràng của những ngày cuối năm, Khoa Ngân hàng xin gửi đến tất cả mọi người lời chúc mừng năm mới, chúc mọi người cùng gia đình chào đón một năm mới an khang, thịnh vượng, dồi dào sức khoẻ, tràn ngập niềm vui, hạnh phúc và may mắn.\nHAPPY NEW YEAR 2024\n——————————————————\n#BankingDUE \n#BankingMediaTeam \n#ChucMungNamMoi2024']","['Tất cả, 13', 'Thích, 8', 'Yêu thích, 5']",[],7412,"Thứ Tư, 7 Tháng 2, 2024 lúc 19:39"
"['[TỔNG KẾT CHIẾN DỊCH TÌNH NGUYỆN ĐÔNG - XUÂN 2024]\nTHẮP SÁNG DHAMI\nCHƯƠNG TRÌNH TÌNH NGUYỆN ĐÔNG-XUÂN 2024\n —————————————————————\nHành trình Tình nguyện Đông - Xuân “THẮP SÁNG DHAMI” 2024 đã chính thức khép lại! Một hành trình ý nghĩa hai ngày một đêm cùng những người dân Dhami thân thương đã diễn ra thật thành công!\nMùa đông nơi miền núi cao đã không còn quá khắc nghiệt, mọi khó khăn dường như tan biến trong cái tình người ấm áp bên ánh lửa bập bùng. Bắt đầu từ những thứ nhỏ nhất, chân thật nhất, nhưng mong rằng, với tấm lòng thành ấy có thể mang lại ít nhiều sự hạnh phúc, cải thiện được đời sống của người dân nơi đây! Giây phút chia tay bà con tại thôn Đhami, xã Ba, huyện Đông Giang, tỉnh Quảng Nam cũng là giây phút khép lại một hồi ức đẹp khó phai mờ trong tâm trí của tất cả TNV tham gia chiến dịch lần này.\nLCĐ Khoa Ngân hàng xin trân trọng cảm ơn các mạnh thường quân, các nhà hảo tâm, quý thầy cô, Ngân hàng TMCP Sài Gòn - Hà Nội - SHB, chi đoàn thôn Dhami - Xã Ba, cũng như các bạn tình nguyện viên đã luôn ân cần, cố gắng, không ngại khó khăn ủng hộ chiến dịch tình nguyện “Thắp sáng Dhami” vừa qua. Trong suốt chiến dịch, những trái tim yêu thương mang nhịp đập của tuổi trẻ Khoa Ngân hàng đã không ngừng nỗ lực để góp nhặt những tình cảm đầy chân thành, mang đến Dhami những tia nắng ấm áp và tươi sáng nhất của mùa xuân này.\nBây giờ, hãy cùng Khoa Ngân hàng nhìn lại những khoảnh khắc đáng nhớ trong hành trình gieo nắng ấm đến với vùng cao xa xôi, lạnh lẽo nhé! Những hình ảnh quý giá này cũng sẽ là sự thúc đẩy để thế hệ nối tiếp thế hệ lan tỏa những giá trị yêu thương cao cả.\nCuối cùng, LCĐ Khoa Ngân hàng xin gửi lời cảm ơn sâu sắc nhất đến tất cả mọi người! Xin chúc mọi người một năm mới 2024 an khang thịnh vượng, vạn sự như ý!!!!\nLink ảnh: https://bit.ly/tndbankingdue24\n—————————————————————\n#BankingDue\n#BankingMediaTeam\n#TongketChiendichTinhnguyenDongXuan2024']","['Tất cả, 15', 'Yêu thích, 9', 'Thích, 6']",[],8211,"Thứ Sáu, 2 Tháng 2, 2024 lúc 11:30"
"['[ CHỌN NGHỀ LẬP NGHIỆP CÙNG LPBANK ]\n————————\nNgày 25/1 vừa qua, Trường Đại học Kinh tế - ĐHĐN và Ngân hàng Bưu điện Liên Việt đã tổ chức Chương trình “Chọn nghề lập nghiệp cùng LPBANK”. Với hơn 15 năm hoạt động, có nhiều những CN/PGD và hơn 1200 điểm giao dịch lớn nhỏ trên khắp 63 tỉnh thành đất nước, đội ngũ nhân sự đông đảo lên tới gần 11.000 CBNV. Do vậy, công tác nhân sự luôn được LPBank quan tâm và đặt lên hàng đầu.\nLPBank hiện đang tích cực thay đổi toàn diện và mãnh mẽ về mặt tổ chức, công nghê và con người nhằm đáp ứng bối cảnh cạnh tranh ngày càng cao trong ngân hàng. Được sự cho phép từ Ban giám hiệu Trường Đại học Kinh tế - ĐHĐN, đã tổ chức thành công chương trình “Chọn nghề lập nghiệp cùng LPBank”.\n   Về tham dự chương trình, Trường Đại học Kinh tế - ĐHĐN vinh dự được đón tiếp các đại biểu\n   Về phía Ngân hàng Bưu điện Liên Việt\nTại Hội sở:\n- Ông Nguyễn Anh Tài – Phó Trưởng Văn phòng đại diện khu vực miền Trung, Giám đốc Chi nhánh Huế\n- Ông Nguyễn Mạnh Chiến  - Cán bộ Khối Quản lý Nguồn Nhân lực;\n   Tại các Đơn vị Kinh doanh:\n- Ông Dương Đình Dụng – Giám đốc Chi nhánh Đà Nẵng;\n  Cùng Ban lãnh đạo Chi nhánh Đà Nẵng\nVề phía Trường Đại học Kinh tế - Đại học Đà Nẵng\n- Tiến sĩ Nguyễn Ngọc Anh - Trưởng Khoa Ngân hàng\n- Tiến sĩ Võ Hoàng Diễm Trinh - Phó Trưởng Khoa Ngân hàng\n- Tiến sĩ Phan Đặng My Phương - Trưởng bộ môn Ngân hàng\n- Tiến sĩ Hoàng Dương Việt Anh - Trưởng bộ môn Tài chính công\n   Cùng các giảng viên Khoa Ngân hàng.\nChương trình nhằm mang tới cho các bạn sinh viên kiến thức cũng như kinh nghiệm và cơ hội thực tập và làm việc tại các tổ chức tài chính lớn, là hành trang để các bạn sinh viên vững bước trong tương lai. \n————————\n#BankingDUE \n#BankingMediaTeam \n#Cohoinghenghiep']","['Tất cả, 28', 'Thích, 17', 'Yêu thích, 11']",[],9693,"Thứ Hai, 29 Tháng 1, 2024 lúc 13:30"
"['[ BUỔI KÝ KẾT THOẢ THUẬN HỢP TÁC - PHÁT HUY THẾ MẠNH TRÊN CÁC LĨNH VỰC GIỮA DUE VÀ LPBANK ]\n—————————————————————\nChiều ngày 25/1, Trường Đại học Kinh tế - ĐHĐN và Ngân hàng Bưu điện Liên Việt (LPBANK) đã diễn ra Lễ ký kết thoả thuận hợp tác nhằm phát huy thế mạnh của hai bên, tăng cường hợp tác trong lĩnh vực đào tạo, nghiên cứu khoa học và các hoạt động hỗ trợ sinh viên , phục vụ sự nghiệp phát triển nguồn nhân lực trong lĩnh vực ngân hàng.\nTham dự lễ ký kết, về phía Ngân hàng Bưu điện Liên Việt, vinh dự chào đón sự có mặt của ông Huỳnh Ngọc Huy - thành viên Hội đồng Quản trị, Ngân hàng Bưu điện Liên Việt; ông Đoàn Nguyên Ngọc, Phó Tổng Giám đốc và lãnh đạo các đơn bị của Ngân hàng Bưu điện Liên Việt. Về phía Trường Đại học Kinh tế - ĐHNN có sự có mặt của TS. Huỳnh Thị Hồng Hạnh - Phó hiệu trưởng; đại diện lãnh đạo các đơn vị: Khoa Ngân hàng, Khoa Tài chính, Phòng Đào tạo, Phòng Khoa học và Hợp tác quốc tế, Phòng Công tác sinh viên, Phòng Kế hoạch tài chính, Phòng Thanh tra pháp chế.\nLần hợp tác này được đánh giá cao, được gửi gắm niềm tin, sự tin tưởng và mong muốn rằng hai bên sẽ tiếp tục chia sẻ nguồn lực để cùng nhau phát triển và đào tạo nguồn nhân lực chất lượng cao và thiết lập mối quan hệ hợp tác lâu dài giữa hai bên. Đồng hành cùng Nhà trường trong hành trình lần này, LPBank đã trao 10 suất học bổng với tổng giá trị 50 triệu đồng dành cho các em sinh viên Khoa Ngân hàng đạt thành tích xuất sắc trong học tập và tích cực trong các phong trào sinh viên.\nMong rằng trong tương lai, mối quan hệ hợp tác giữa Trường Đại học Kinh tế - ĐHĐN và Ngân hàng Bưu điện Liên Việt (LPBANK) sẽ ngày càng đi lên, phát triển và tiến xa hơn nữa trong tương lai.\n—————————————————————\n#BankingDUE \n#BankingMediaTeam \n#Hoptacphattrien']","['Tất cả, 38', 'Thích, 23', 'Yêu thích, 15']",[],11179,"Thứ Sáu, 26 Tháng 1, 2024 lúc 20:00"
"['Từ Sinh viên đến Chuyên viên tại LPBank - Tại sao không!!!\nBạn là SV năm 3 hoặc cuối của DUE? Bạn mong muốn được thực tập tại một môi trường năng động, hiện đại, chuyên nghiệp và đặc biệt còn được hưởng lương khi thực tập??? Thực tập xong có cơ hội trở thành cán bộ chính thức của Ngân hàng???\nVậy đừng bỏ lỡ cơ hội tham gia chương trình “Chọn nghề - Lập nghiệp cùng LPBank” để được trải nghiệm 1 kỳ thực tập như một banker chính hiệu tại các đơn vị trải dài khắp 63 tỉnh thành trong cả nước.\nTham gia chương trình bạn sẽ được:\n- Tìm hiểu về LPBank, về chương trình Thực tập sinh tiềm năng tại LPBank\n- Phỏng vấn trực tiếp để nhận cơ hội gia nhập LPBank\n- Chia sẻ, tư vấn về định hướng nghề nghiệp trong lĩnh vực ngân hàng.\nĐặc biệt sẽ có nhiều phần quà hấp dẫn mà LPBank dành tặng bạn\nThời gian: 13h30, thứ 5, ngày 25/01/2024 tại Trường Đại học Kinh tế- ĐH Đà Nẵng\nVị trí thực tập: tại Đơn vị kinh doanh (Chuyên viên Khách hàng doanh nghiệp, Chuyên viên Khách hàng cá nhân, Giao dịch viên,...).\nQuyền lợi thực tập sinh: \n- Sinh viên lựa chọn địa điểm thực tập phù hợp tại Đơn vị trên toàn hệ thống của LPBank tại 63 Tỉnh/Thành phố trên cả nước.\n- Được đào tạo (kỹ năng, kinh nghiệm thực tế,….), có cơ hội trở thành CBNV chính thức của LPBank sau thời gian thực tập.\n- Được hỗ trợ chi phí trong thời gian thực tập.\nNhanh tay đăng ký ngay thôi các bạn!\nLink đăng kí: https://docs.google.com/.../1SXuXiGbZAF5yLwi8B9oq.../prefill']","['Tất cả, 20', 'Thích, 17', 'Yêu thích, 3']",[],12735,"Chủ Nhật, 14 Tháng 1, 2024 lúc 19:55"
