text,label,Post_ID
yêu bạn thôi chứ yêu các bạn là dở rồi vui thật,Postive,0
ý em sao,Neutral,0
nhanh còn kịp haha,Postive,0
hhaha trễ lâu rồi,Postive,0
thả tim kìa,Postive,0
e thả tim r ah,Postive,0
anh có ngyeu r mà tag anh chi,Neutral,0
timmmm đyy,Postive,0
nữ thì k có nhưng em có thằng bạn tên giuse anh tú nó sống trên đời năm rồi nhưng chưa lần được đi chơi anh có thể dắt bạn em đi cho nó biết cảm giác được k ạ,Neutral,0
tym liền,Postive,0
còn c lê thủy nữa nè,Neutral,0
úi sao quên chỉ được,Neutral,0
cảm mơn vui thật,Postive,0
người đn chưa có bồ nguyễn lý minh trí anh viết đúng k vui thật,Neutral,0
nút thả tym bị liệt thông cảm,Negative,0
lên cho anh mấy con mã new bên e,Neutral,0
m đừng có reo ce như z nữa,Negative,0
như lời bài hát e chèn zô mà c,Neutral,0
giờ mình apply còn kịp không ạ,Neutral,0
nãy bạn mình không có wifi đòi đăng ký để thả tym nói rứa thôi chứ tag phan ngọc diệu vô thì lộ quá,Neutral,0
chúng ta còn hên phải khum chị yêu,Postive,1
đần,Negative,1
chờ sang ngày mai rồi chửi nay tạm tha,Negative,1
là cái hình ảnh ni làm m cười rậc rậc cả tiết học vui thật,Postive,2
nhưng mà nó mắc cười thật mà dm,Postive,2
cái mặt m mới làm t mắc cười đm buồn thật,Negative,2
giống em hôm qua nè chị iu,Postive,2
t cx hiện đang như m ngày hum qua á con quể,Negative,2
phải sử dụng bùa thôi,Neutral,2
mời bạn ghé qua moonsun store để xem bó hoa sứ kẹp tóc của bọn mình nhé vừa xinh lại vừa có thể làm phụ kiện cài tóc đáng yêu của các bạn gái nữa món quà chân ái là đây chứ đâu vui thật,Neutral,2
nếu em học thì chuẩn bị thi vấn đáp thôi thi xong bị mê vấn đáp luôn an tâm,Neutral,3
xin được đồng cảm và chia sẻ với bạn qua ca khúc,Neutral,3
phiên bản tân bạch nương tử truyền kỳ,Neutral,3
lại là khoa l kìa a,Neutral,3
mang l di muon noi vui thật,Postive,3
ad cfs này chúa vô duyên à,Negative,4
thề đ hiểu mấy đợt duyệt mấy bài kiểu trap trap này kia là đã thấy kh thấm nỗi rồi,Negative,4
đợt này a bầu em lên làm ban quản trị page nge nhung kakaka,Postive,4
bữa mới chỉ,Neutral,4
nó kìa,Neutral,4
quay tiktok hăng quá bị rơi mất,Negative,4
kêu nhỏ bo lụm lại đi vui thật,Postive,4
kkkk,Postive,4
tàn ác quáa,Negative,4
hôm bữa nè,Neutral,4
ánh ngọc e nói c cất đi khum chịu cứ hay làm rớt quá,Negative,4
chê,Negative,4
từ bữa đến h ko ai lụm,Neutral,4
minh ánh rớt kìa cha,Neutral,4
gúm,Negative,4
lượm,Negative,4
của dong uyen tran ho,Neutral,4
cha m,Negative,4
rớt kìa,Neutral,4
lượm đi cậu vui thật,Postive,4
m tag lỡ ngta hỉu lầm t làm rớt,Negative,4
phải m k t đi ngang qua thấy mấy lần lun,Neutral,4
nói nhỏ thoi để mai t lên lụm,Negative,4
lên rồi kk,Postive,4
chịu luôn r cuối cùng nó cũng đc lên,Postive,4
họ chụp lại đc ròi kìa,Neutral,4
dỡn mặt hả,Negative,4
thứ hôm bữa t hỏi m nèk,Neutral,4
đừng biết nhé,Neutral,4
kìa,Neutral,4
hèn gì nó trống trống,Negative,4
