Post_ID,Comment,Icon,Comment_ID,Label
0,yêu bạn thôi chứ yêu các bạn là dở rồi,:),0,Postive
0,ý em sao,,1,Neutral
0,nhanh còn kịp haha,,2,Postive
0,hhaha trễ lâu rồi,,3,Postive
0,thả tim kìa,,4,Postive
0,e thả tim r ah,,5,Postive
0,anh có ngyeu r mà tag anh chi,,6,Neutral
0,timmmm đyy,,7,Postive
0,nữ thì k có nhưng em có thằng bạn tên giuse anh tú nó sống trên đời năm rồi nhưng chưa lần được đi chơi anh có thể dắt bạn em đi cho nó biết cảm giác được k ạ,,8,Neutral
0,tym liền,,9,Postive
0,còn c lê thủy nữa nè,,10,Neutral
0,úi sao quên chỉ được,,11,Neutral
0,cảm mơn,=),12,Postive
0,người đn chưa có bồ nguyễn lý minh trí anh viết đúng k,=),13,Neutral
0,nút thả tym bị liệt thông cảm,,14,Negative
0,lên cho anh mấy con mã new bên e,,15,Neutral
0,m đừng có reo ce như z nữa,,16,Negative
0,như lời bài hát e chèn zô mà c,,17,Neutral
0,giờ mình apply còn kịp không ạ,,18,Neutral
0,nãy bạn mình không có wifi đòi đăng ký để thả tym nói rứa thôi chứ tag phan ngọc diệu vô thì lộ quá,,19,Neutral
1,chúng ta còn hên phải khum chị yêu,,20,Postive
1,đần,,21,Negative
1,chờ sang ngày mai rồi chửi nay tạm tha,,22,Negative
2,là cái hình ảnh ni làm m cười rậc rậc cả tiết học,=),23,Postive
2,nhưng mà nó mắc cười thật mà dm,,24,Postive
2,cái mặt m mới làm t mắc cười đm,:(,25,Negative
2,giống em hôm qua nè chị iu,,26,Postive
2,t cx hiện đang như m ngày hum qua á con quể,,27,Negative
2,phải sử dụng bùa thôi,,28,Neutral
2,mời bạn ghé qua moonsun store để xem bó hoa sứ kẹp tóc của bọn mình nhé vừa xinh lại vừa có thể làm phụ kiện cài tóc đáng yêu của các bạn gái nữa món quà chân ái là đây chứ đâu,:3,29,Neutral
3,nếu em học thì chuẩn bị thi vấn đáp thôi thi xong bị mê vấn đáp luôn an tâm,,30,Postive
3,xin được đồng cảm và chia sẻ với bạn qua ca khúc,,31,Neutral
3,phiên bản tân bạch nương tử truyền kỳ,,32,Neutral
3,lại là khoa l kìa a,,33,Neutral
3,mang l di muon noi,=),34,Postive
4,ad cfs này chúa vô duyên à,,35,Negative
4,thề đ hiểu mấy đợt duyệt mấy bài kiểu trap trap này kia là đã thấy kh thấm nỗi rồi,,36,Negative
4,đợt này a bầu em lên làm ban quản trị page nge nhung kakaka,,37,Postive
4,bữa mới chỉ,,38,Neutral
4,nó kìa,,39,Neutral
4,quay tiktok hăng quá bị rơi mất,,40,Negative
4,kêu nhỏ bo lụm lại đi,=),41,Postive
4,kkkk,,42,Postive
4,tàn ác quáa,,43,Negative
4,hôm bữa nè,,44,Neutral
4,ánh ngọc e nói c cất đi khum chịu cứ hay làm rớt quá,,45,Negative
4,chê,,46,Negative
4,từ bữa đến h ko ai lụm,,47,Neutral
4,minh ánh rớt kìa cha,,48,Neutral
4,gúm,,49,Neutral
4,lượm,,50,Neutral
4,của dong uyen tran ho,,51,Neutral
4,cha m,,52,Negative
4,rớt kìa,,53,Neutral
4,lượm đi cậu,:),54,Postive
4,m tag lỡ ngta hỉu lầm t làm rớt,,55,Negative
4,phải m k t đi ngang qua thấy mấy lần lun,,56,Neutral
4,nói nhỏ thoi để mai t lên lụm,,57,Negative
4,lên rồi kk,,58,Postive
4,chịu luôn r cuối cùng nó cũng đc lên,,59,Negative
4,họ chụp lại đc ròi kìa,,60,Neutral
4,dỡn mặt hả,,61,Negative
4,thứ hôm bữa t hỏi m nèk,,62,Neutral
4,đừng biết nhé,,63,Neutral
4,kìa,,64,Neutral
4,hèn gì nó trống trống,,65,Negative
4,hôm qua đá ra mà h lên cfs luôn,,66,Neutral
4,m tag z họ tưởng t rớt,,67,Negative
4,chắc khom đao,:),68,Postive
4,tag chị em dô lượm kìa,,69,Neutral
4,em có thấy chị thảo hiền ghé trường tối qua phải chăng là,,70,Neutral
4,hqua thấy mà tính mang về cho mấy ce đó chớ,,71,Neutral
4,đã thấy chị em nhà họ tag nhau mà k tag tôi,,72,Neutral
4,rau câu,,73,Neutral
4,kêu linh thư lên nhặt lại dùm cái dị quá,,74,Negative
4,ủa cái đó cuae b mà,,75,Neutral
4,t có sài cái này bao h đâu,,76,Negative
4,tại có ấy đâu mà xài,,77,Neutral
4,chúng ta như nhau,,78,Neutral
4,nhớ bữa sáng định mệnh đó,,79,Neutral
4,nãy cười dữ quá rớt đây chi nữa,,80,Postive
4,mà,,81,Neutral
4,haha mỹ nhật,,82,Postive
4,đã lộ rồi mà k lo giữ là răng rứa lê minh hè rớt hoài luôn á,,83,Negative
4,ra nhận hàng m,,84,Neutral
4,của mi t đà dán dú đây vẫn đủ,,85,Neutral
4,hen la day khg mg,,86,Postive
4,hahahh sazzz,,87,Postive
4,chi hay rứa con,,88,Postive
4,rớt quài z má,,89,Negative
4,zu ziên,,90,Negative
4,kẻ hay làm rớt chắc chắn là mày su tran,,91,Negative
4,của em kìa,:),92,Neutral
4,dị quá hai ơi lên lụm đi hai,,93,Negative
4,ủa nó ở đó lâu vậy cơ à,,94,Neutral
4,chứ chi rớt tùm lum ri b,,95,Negative
4,chi z của ms à,,96,Neutral
4,hồi chiều t mới chỉ mđ,,97,Neutral
4,to rứa hả,,98,Neutral
4,hồi trưa đi học võ thị thùy dương kêu của hoai thu đó m,,99,Neutral
4,hong phải võ thị thùy dương kêu của võ thị thùy dương đó,:),100,Postive
4,bắt em phải nói là của mỹ nhật,,101,Neutral
4,khonggg mỹ nhật nói của mỹ nhật,,102,Neutral
4,không phải của võ thị thùy dương mỹ nhật hoai thu vậy của ai của nguyễn khiêm,,103,Neutral
4,người sài chung mà chừ rớt đi đổ thừa tui,,104,Negative
4,rớt đây nè bà làm tìm chiều chừ,,105,Negative
4,nhỏ quá ko sài loại này được,,106,Negative
4,xin lỗi mn nhiều là thằng bạn e lê văn toại làm rơi ai nhặt đc thì cho thằng bạn em xin lại ạ,,107,Negative
4,bố thằng ngáo này lo học hành cho qua môn đi em,,108,Negative
4,tầm ni học bổng rồi em ơi,,109,Neutral
4,giá đến triệu iphone series từ triệu iphone series từ triệu iphone series từ triệu iphone series từ triệu iphone series từ triệu đủ bộ từ iphone đến mua ngay c h ỉ f p t s h o p m ớ i c ó bảo hành năm 𝓚𝓱𝓸̂𝓷𝓰 𝓵𝓸 𝓻𝓸̛́𝓽 𝓰𝓲𝓪́ ____ fptshop fptshopstory,,110,Neutral
4,miếng dán mụng,,111,Neutral
4,của m à,,112,Neutral
4,mụn của t to hơn,,113,Neutral
4,này cỡ mụn cóc mụn trâu,=),114,Postive
4,ai gớt thì qua sốp mình tặng cho cái quần nè,,115,Neutral
4,nhi phải con đâu,:(,116,Negative
5,ai dạy ad thế,,117,Negative
5,đúng rồi chứ gì nữa trong code c thì phép chia lấy số nguyên còn phép chia lấy số dư,,118,Neutral
5,mồng tháng ra thăm vườn chọn cành hoa xinh tươi tặng cô giáo,,119,Neutral
6,ui xịn thía,,121,Postive
6,bẹc rê ngày ni ns đúng,,122,Neutral
6,qúa là tuỵtt,,123,Postive
6,còn thoai aáaaaa kịp kịp kịp apply,,124,Postive
6,tgia dc cơ cấu ko ní,,125,Neutral
6,đc em ơi cơ cấu cho mí anh đẹp dai luôn ý chứ,,126,Postive
